Alignment Data
x,y,z,zd
12.6540959184,-0.0003781686,3.9003545503,0.0000697168
12.6536555365,-0.0003704816,3.9000680984,0.0000810079
12.6526216973,-0.0003759281,3.8993496915,0.0000615325
12.6516410839,-0.0003542964,3.8987054456,0.0000801717
12.6500505590,-0.0003784003,3.8975999662,0.0000497399
12.6480217370,-0.0003553780,3.8962228288,0.0000436643
12.6454014260,-0.0003908386,3.8944695090,0.0000607381
12.6422729439,-0.0003524423,3.8923326734,0.0000370628
12.6384457068,-0.0003989118,3.8897429820,0.0000316547
12.6347538153,-0.0003645715,3.8872587021,0.0000393764
12.6309589469,-0.0003924610,3.8846587763,0.0000000440
12.6270665022,-0.0003690910,3.8821288354,0.0000955714
12.6230625852,-0.0003942378,3.8793910136,0.0000573832
12.6186050738,-0.0003702885,3.8763775548,0.0000481726
12.6146838156,-0.0003936971,3.8737192629,0.0000316409
12.6108693193,-0.0003657304,3.8711668444,0.0000480992
12.6070959215,-0.0003878642,3.8686430468,0.0000645674
12.6028504292,-0.0003784004,3.8657665942,0.0000450873
12.5988596015,-0.0003720267,3.8630661220,0.0000291396
12.5947752554,-0.0003845422,3.8603928377,0.0001022079
12.5907231271,-0.0003614427,3.8576095144,0.0000424944
12.5863409703,-0.0003877870,3.8546713727,0.0000485751
12.5823523800,-0.0003688979,3.8519812514,0.0000371558
12.5783445543,-0.0003775892,3.8492454748,-0.0000080559
12.5743335973,-0.0003785163,3.8465641970,0.0000022731
12.5699409685,-0.0003689365,3.8436518173,0.0000364077
12.5659993839,-0.0003894480,3.8410214479,0.0000489116
12.5619807384,-0.0003675845,3.8383262264,0.0000471749
12.5579072040,-0.0003859715,3.8355995619,0.0000496902
12.5534383233,-0.0003611723,3.8326319465,0.0000748610
12.5494308003,-0.0003947014,3.8299642628,0.0000898636
12.5454435184,-0.0003761986,3.8272539009,0.0000475772
12.5414337152,-0.0003753101,3.8245772181,0.0000529700
12.5370158574,-0.0003862805,3.8216646039,0.0000941266
12.5330100308,-0.0003729152,3.8190091259,0.0001158077
12.5290106177,-0.0003902206,3.8163033585,0.0000818398
12.5249789511,-0.0003619448,3.8135459115,0.0000166538
12.5208904623,-0.0003882119,3.8108227210,0.0000225527
12.5163809010,-0.0003705203,3.8078493861,0.0000580719
12.5123527480,-0.0003682798,3.8050905478,-0.0000142748
12.5084035448,-0.0003821473,3.8024812649,0.0000092171
12.5044471942,-0.0003732629,3.7998847282,0.0000491640
12.5000477179,-0.0003850831,3.7969565089,0.0000514806
12.4959989722,-0.0003736878,3.7942569578,0.0000476821
12.4920813643,-0.0003783231,3.7916358566,0.0000339603
12.4881699350,-0.0003784390,3.7890588646,0.0000591960
12.4838319508,-0.0003668506,3.7861400331,0.0000251580
12.4798670222,-0.0003843491,3.7835338000,0.0000545126
12.4758996206,-0.0003692842,3.7809254431,0.0000823155
12.4719590267,-0.0003936585,3.7783100565,0.0000842124
12.4676574245,-0.0003694387,3.7754814137,0.0001114194
12.4636822586,-0.0003935040,3.7728393364,0.0001073435
12.4596446724,-0.0003763918,3.7701034005,0.0000497258
12.4556133810,-0.0003900661,3.7674099509,0.0000293031
12.4512306625,-0.0003814134,3.7644550030,-0.0000208622
12.4472639910,-0.0003882506,3.7618575369,0.0000095682
12.4433282589,-0.0003773961,3.7592795002,0.0000378613
12.4392826730,-0.0003988733,3.7565941606,0.0000304868
12.4348665364,-0.0003661167,3.7537219835,0.0000802730
12.4308913273,-0.0003990278,3.7510948527,0.0000822107
12.4268924767,-0.0003641080,3.7484723960,0.0001033579
12.4228587098,-0.0003962080,3.7457551525,0.0000516794
12.4187508152,-0.0003699023,3.7430395298,0.0000494495
12.4142086010,-0.0003821473,3.7399898296,-0.0000013387
12.4101552060,-0.0003821860,3.7373762921,0.0000600934
12.4060964823,-0.0003845423,3.7346895612,0.0000507051
12.4019871952,-0.0003869372,3.7319784951,0.0000491690
