Alignment Data
x,y,z,zd
10.9711841196,-0.0188795916,0.0848403620,0.0000946975
10.9699357401,-0.0188863794,0.0848947719,0.0000949391
10.9689373207,-0.0188845956,0.0849331843,0.0000900556
10.9670935433,-0.0188804482,0.0850126236,0.0000896030
10.9645340603,-0.0188911658,0.0851209613,0.0000871724
10.9611331571,-0.0188819848,0.0852682738,0.0000875408
10.9570237342,-0.0188893275,0.0854556450,0.0000977206
10.9519144585,-0.0188826437,0.0856757486,0.0000980720
10.9471132697,-0.0188916049,0.0858829307,0.0000993078
10.9425337676,-0.0188873988,0.0860719606,0.0000923961
10.9383583316,-0.0188875583,0.0862544851,0.0000966871
10.9345012923,-0.0188867181,0.0864126870,0.0000905996
10.9304572853,-0.0188832865,0.0865904938,0.0000965146
10.9268290816,-0.0188914465,0.0867437554,0.0000958723
10.9231461084,-0.0188776691,0.0868920478,0.0000882369
10.9193699013,-0.0188848633,0.0870467869,0.0000834159
10.9150150194,-0.0188740524,0.0872362817,0.0000892888
10.9108751049,-0.0188839861,0.0874063978,0.0000852346
10.9066815424,-0.0188763843,0.0875775319,0.0000803212
10.9025356783,-0.0188854292,0.0877498899,0.0000790097
10.8981077913,-0.0188792167,0.0879273199,0.0000713637
10.8941735387,-0.0188888023,0.0881000330,0.0000799863
10.8903067538,-0.0188836754,0.0882553010,0.0000742972
10.8865255971,-0.0188891684,0.0884191949,0.0000811042
10.8824621103,-0.0188851578,0.0885948442,0.0000882710
10.8787509713,-0.0188948246,0.0887462788,0.0000861341
10.8749382156,-0.0188864533,0.0889011032,0.0000834781
10.8709851449,-0.0188949979,0.0890637795,0.0000831959
10.8665350821,-0.0188933027,0.0892508733,0.0000872256
10.8624639015,-0.0188938902,0.0894164062,0.0000856336
10.8584465600,-0.0188911561,0.0895818433,0.0000864841
10.8544287128,-0.0188937152,0.0897375483,0.0000779062
10.8500393226,-0.0188942210,0.0899275963,0.0000888476
10.8461709442,-0.0188899046,0.0900858384,0.0000895589
10.8424241474,-0.0188934304,0.0902362012,0.0000876238
10.8387186375,-0.0188872615,0.0903867415,0.0000878141
10.8349342606,-0.0188931809,0.0905423313,0.0000901308
10.8306199418,-0.0188842665,0.0907101046,0.0000835045
10.8265604937,-0.0188938535,0.0908754031,0.0000850345
10.8224533843,-0.0188831239,0.0910426054,0.0000868645
10.8183767466,-0.0188905096,0.0912060164,0.0000864482
10.8139247358,-0.0188893955,0.0913834923,0.0000853695
10.8099640025,-0.0188828384,0.0915444286,0.0000877665
10.8061406482,-0.0188896465,0.0916985246,0.0000891004
10.8024626701,-0.0188826655,0.0918543851,0.0000982619
10.7984828491,-0.0188834894,0.0919950126,0.0000804325
10.7947579426,-0.0188846581,0.0921508129,0.0000881881
10.7908902797,-0.0188840536,0.0922872703,0.0000711941
10.7868885256,-0.0188864561,0.0924544400,0.0000798776
10.7824420686,-0.0188876595,0.0926316049,0.0000812819
10.7784408136,-0.0188942343,0.0927940631,0.0000858800
10.7744548879,-0.0188882196,0.0929461621,0.0000810056
10.7704839107,-0.0188892717,0.0931059052,0.0000846435
10.7661690327,-0.0188906721,0.0932619762,0.0000714037
10.7622946897,-0.0188877064,0.0934265532,0.0000842325
10.7584695470,-0.0188963698,0.0935732720,0.0000813863
10.7546630201,-0.0188886563,0.0937219509,0.0000814774
10.7504187434,-0.0188932998,0.0938850287,0.0000791736
10.7464807442,-0.0188813362,0.0940413588,0.0000823298
10.7425709787,-0.0188928942,0.0941998475,0.0000890044
10.7387000623,-0.0188865724,0.0943417497,0.0000808533
10.7347699770,-0.0188860427,0.0944917063,0.0000787203
10.7303894744,-0.0188818013,0.0946620106,0.0000798070
10.7264370244,-0.0188835121,0.0948106617,0.0000760490
10.7226026439,-0.0188828284,0.0949575353,0.0000753118
10.7188347335,-0.0188833805,0.0951060481,0.0000790071
10.7146300360,-0.0188822703,0.0952620813,0.0000737076
10.7107361360,-0.0188840580,0.0954120646,0.0000745388
10.7067722129,-0.0188794333,0.0955666273,0.0000775171
10.7028092921,-0.0188823798,0.0957167493,0.0000763449
10.6984706480,-0.0188801485,0.0958782332,0.0000724763
10.6944897267,-0.0188857605,0.0960256579,0.0000684442
10.6905063746,-0.0188882803,0.0961849789,0.0000764650
10.6865270726,-0.0188870181,0.0963279209,0.0000685081
10.6822348900,-0.0188873353,0.0964929046,0.0000710040
10.6783710313,-0.0188891243,0.0966359251,0.0000679953
10.6744785928,-0.0188934999,0.0967856761,0.0000708691
10.6705423915,-0.0188920832,0.0969286037,0.0000655031
10.6660560860,-0.0188950268,0.0970937672,0.0000619358
10.6622913327,-0.0188904422,0.0972406931,0.0000675029
10.6584765979,-0.0188921549,0.0973782125,0.0000620044
10.6546209228,-0.0188875714,0.0975191041,0.0000585639
10.6503002685,-0.0188946870,0.0976814329,0.0000594182
10.6463200732,-0.0188891749,0.0978307079,0.0000601861
10.6423603081,-0.0188922767,0.0979762314,0.0000581967
10.6384487451,-0.0188857216,0.0981262174,0.0000626899
10.6345042337,-0.0188918755,0.0982671015,0.0000570821
10.6301405881,-0.0188856658,0.0984294411,0.0000576254
10.6262114491,-0.0188903509,0.0985764996,0.0000592336
10.6223042485,-0.0188866925,0.0987275273,0.0000658419
10.6184297982,-0.0188930002,0.0988721733,0.0000674944
10.6141693112,-0.0188874481,0.0990291487,0.0000674738
10.6102885651,-0.0188934076,0.0991770796,0.0000726253
10.6064188995,-0.0188867780,0.0993121423,0.0000655258
10.6025456801,-0.0188962162,0.0994462439,0.0000575450
10.5982733730,-0.0188882687,0.0996073551,0.0000621745
10.5943798000,-0.0188946928,0.0997492647,0.0000616948
10.5904593067,-0.0188900313,0.0998938071,0.0000630732
10.5865363410,-0.0188947941,0.1000381205,0.0000643435
10.5822834948,-0.0188919855,0.1001887976,0.0000601851
10.5784525664,-0.0188952426,0.1003298359,0.0000619591
10.5746083909,-0.0188924349,0.1004754349,0.0000680105
10.5707252797,-0.0188926032,0.1006102711,0.0000620872
10.5664113678,-0.0189029655,0.1007600437,0.0000557208
10.5625450584,-0.0188900775,0.1009020169,0.0000579644
10.5587165991,-0.0188981629,0.1010418192,0.0000596010
10.5548237539,-0.0188912236,0.1011807895,0.0000582788
10.5504548817,-0.0188984554,0.1013414713,0.0000617501
10.5464517661,-0.0188921339,0.1014814820,0.0000579293
10.5425152369,-0.0188945414,0.1016219748,0.0000571864
10.5386585808,-0.0188919659,0.1017647964,0.0000618317
10.5347977914,-0.0188908969,0.1019067313,0.0000656338
10.5305204894,-0.0188911784,0.1020562574,0.0000623477
10.5266024589,-0.0188867107,0.1021972832,0.0000636009
10.5226705232,-0.0188896205,0.1023365769,0.0000628223
10.5187779442,-0.0188922600,0.1024757032,0.0000634704
10.5144536750,-0.0188818805,0.1026288728,0.0000630269
10.5105175273,-0.0188889622,0.1027655035,0.0000600364
10.5065754705,-0.0188829884,0.1029054937,0.0000603884
10.5026465837,-0.0188872115,0.1030443616,0.0000602769
10.4983612444,-0.0188863727,0.1031948165,0.0000593604
10.4944401610,-0.0188920620,0.1033420635,0.0000683009
10.4904931570,-0.0188853554,0.1034759909,0.0000631967
10.4865579722,-0.0188884202,0.1036121952,0.0000609755
10.4822760312,-0.0188885075,0.1037676315,0.0000660020
10.4784154660,-0.0188912247,0.1039040044,0.0000669567
10.4745621214,-0.0188973419,0.1040344661,0.0000624327
10.4706687273,-0.0188977405,0.1041774152,0.0000691736
10.4663335979,-0.0188917266,0.1043250267,0.0000653356
10.4623931587,-0.0188922031,0.1044642059,0.0000670484
10.4584640749,-0.0188965417,0.1046051976,0.0000711531
10.4545451861,-0.0188958986,0.1047419362,0.0000715411
10.4502216045,-0.0188974544,0.1048928669,0.0000722503
10.4463076193,-0.0189005197,0.1050264373,0.0000700194
10.4424286661,-0.0188993744,0.1051636260,0.0000727983
10.4385349949,-0.0188934411,0.1052930936,0.0000675216
10.4346360331,-0.0189007166,0.1054261578,0.0000658352
10.4302867265,-0.0188990664,0.1055781388,0.0000677078
10.4263067331,-0.0189054142,0.1057152462,0.0000676438
10.4223950645,-0.0188970458,0.1058541433,0.0000719003
10.4185340298,-0.0189038576,0.1059879286,0.0000729600
10.4142292912,-0.0189017454,0.1061324402,0.0000696927
10.4102672162,-0.0189069740,0.1062640952,0.0000655182
10.4063377020,-0.0189064080,0.1064016864,0.0000685708
10.4025148252,-0.0189160399,0.1065324470,0.0000686112
10.3983597506,-0.0189091000,0.1066749772,0.0000692469
10.3945127711,-0.0189190030,0.1068020763,0.0000651459
10.3905601206,-0.0189151923,0.1069410261,0.0000694626
10.3865942970,-0.0189208846,0.1070716779,0.0000652076
10.3823023001,-0.0189210521,0.1072111643,0.0000588875
10.3784600344,-0.0189239235,0.1073489592,0.0000663266
10.3745488626,-0.0189231653,0.1074812911,0.0000661315
10.3705671641,-0.0189258832,0.1076139171,0.0000640134
10.3662027111,-0.0189293318,0.1077636632,0.0000662617
10.3623220502,-0.0189232826,0.1078933575,0.0000649819
10.3585120696,-0.0189277782,0.1080210223,0.0000642180
10.3546652829,-0.0189245859,0.1081574652,0.0000711506
10.3503567153,-0.0189258727,0.1083012443,0.0000700627
10.3464308642,-0.0189215613,0.1084323440,0.0000693373
10.3425555709,-0.0189255929,0.1085620771,0.0000691058
10.3387185128,-0.0189158368,0.1086861169,0.0000646211
10.3347976838,-0.0189193651,0.1088231260,0.0000704631
10.3303947589,-0.0189176382,0.1089718404,0.0000720773
10.3264212061,-0.0189202410,0.1091007554,0.0000684144
10.3225244369,-0.0189180155,0.1092306485,0.0000684538
10.3187096272,-0.0189220853,0.1093628722,0.0000737109
10.3144816644,-0.0189174240,0.1095062370,0.0000765371
10.3105481225,-0.0189205690,0.1096271823,0.0000668998
10.3065714807,-0.0189229772,0.1097634754,0.0000713445
10.3026936348,-0.0189280911,0.1098891151,0.0000685711
10.2985159582,-0.0189277949,0.1100294902,0.0000707798
10.2946790527,-0.0189262269,0.1101548832,0.0000694368
10.2907361257,-0.0189310317,0.1102812006,0.0000656760
10.2867320592,-0.0189309300,0.1104138326,0.0000663778
10.2823506448,-0.0189347264,0.1105625021,0.0000708741
10.2784774714,-0.0189312655,0.1106894515,0.0000705390
10.2745705409,-0.0189367269,0.1108160661,0.0000689172
10.2706104277,-0.0189365090,0.1109506921,0.0000737210
10.2661293244,-0.0189372932,0.1110968442,0.0000731658
10.2623930302,-0.0189308595,0.1112167184,0.0000708740
10.2585990744,-0.0189381352,0.1113485880,0.0000788391
10.2547410404,-0.0189345198,0.1114756094,0.0000800134
10.2503792805,-0.0189365032,0.1116118348,0.0000741435
10.2463475208,-0.0189307226,0.1117514655,0.0000826011
10.2423780947,-0.0189367256,0.1118729634,0.0000751160
10.2384931375,-0.0189312189,0.1119927318,0.0000688000
10.2345954366,-0.0189362552,0.1121203860,0.0000701103
10.2302792151,-0.0189315938,0.1122644743,0.0000744669
10.2263640164,-0.0189346223,0.1123882327,0.0000716391
10.2225376517,-0.0189394276,0.1125118079,0.0000716496
10.2187411028,-0.0189307154,0.1126301947,0.0000675794
10.2144518778,-0.0189378736,0.1127710709,0.0000702824
10.2104352540,-0.0189375025,0.1128984923,0.0000684791
10.2064418042,-0.0189401442,0.1130255977,0.0000672658
10.2025590488,-0.0189395418,0.1131505419,0.0000676008
10.1983732157,-0.0189362347,0.1132814555,0.0000643470
10.1945101203,-0.0189429704,0.1134090213,0.0000682458
10.1905527830,-0.0189420201,0.1135359210,0.0000686152
10.1865791078,-0.0189457048,0.1136624794,0.0000682780
10.1822963308,-0.0189451774,0.1137996437,0.0000688514
10.1784990484,-0.0189495192,0.1139230160,0.0000712693
10.1746218912,-0.0189434718,0.1140430132,0.0000679148
10.1706298699,-0.0189481603,0.1141713159,0.0000693676
10.1662506503,-0.0189443106,0.1143121416,0.0000712209
10.1623773560,-0.0189497728,0.1144343416,0.0000706623
10.1585813466,-0.0189499053,0.1145536569,0.0000698121
10.1547116822,-0.0189456731,0.1146745018,0.0000683059
10.1503454396,-0.0189455701,0.1148142426,0.0000701725
10.1463793702,-0.0189502217,0.1149333055,0.0000641607
10.1425042221,-0.0189492719,0.1150575131,0.0000663103
10.1386729891,-0.0189559309,0.1151821328,0.0000704010
10.1347855959,-0.0189457121,0.1153024027,0.0000685217
10.1304203952,-0.0189539523,0.1154400592,0.0000691936
10.1264406160,-0.0189462814,0.1155665784,0.0000709853
10.1225423302,-0.0189483069,0.1156839963,0.0000663811
10.1186986609,-0.0189444596,0.1158120940,0.0000743120
10.1144252672,-0.0189476021,0.1159461273,0.0000749143
10.1104583861,-0.0189495114,0.1160650353,0.0000701219
10.1064640828,-0.0189468240,0.1161862688,0.0000669555
10.1025980886,-0.0189450626,0.1163130996,0.0000735314
10.0983772606,-0.0189477808,0.1164441802,0.0000734871
10.0944456441,-0.0189452860,0.1165684831,0.0000758065
10.0904214086,-0.0189438338,0.1166943228,0.0000769458
10.0864444851,-0.0189461680,0.1168131183,0.0000726629
10.0821772308,-0.0189501612,0.1169421286,0.0000697818
10.0783666192,-0.0189423380,0.1170566575,0.0000666830
10.0745156463,-0.0189449045,0.1171724764,0.0000637733
10.0705802841,-0.0189454604,0.1173000643,0.0000701804
10.0662331558,-0.0189508056,0.1174279808,0.0000644132
10.0623763517,-0.0189451445,0.1175475078,0.0000654891
10.0585868666,-0.0189455101,0.1176601390,0.0000618788
10.0547043011,-0.0189466464,0.1177815298,0.0000643186
10.0503136456,-0.0189460038,0.1179157551,0.0000642039
10.0462964777,-0.0189477575,0.1180404731,0.0000661749
10.0424151089,-0.0189430234,0.1181598152,0.0000670690
