Alignment Data
x,y,z,zd
8.3991919688,0.0006060413,-1.4244679265,0.0001903900
8.3982558483,0.0006208331,-1.4241100715,0.0001743289
8.3961908063,0.0006325352,-1.4232723316,0.0001869602
8.3942337394,0.0006032605,-1.4224958202,0.0001811713
8.3912483883,0.0006347752,-1.4213052138,0.0001778268
8.3877896384,0.0006030673,-1.4199195177,0.0001793265
8.3837334521,0.0006382123,-1.4182871644,0.0001871677
8.3792470644,0.0005954588,-1.4164920186,0.0001840028
8.3740904345,0.0006363197,-1.4144271189,0.0001800475
8.3695421186,0.0005915966,-1.4125955624,0.0001851785
8.3653320522,0.0006359334,-1.4108941665,0.0001946631
8.3614718234,0.0005965013,-1.4093326970,0.0002037286
8.3575369359,0.0006289815,-1.4077604546,0.0001925106
8.3540197906,0.0005967329,-1.4063403086,0.0001964400
8.3503596890,0.0006300242,-1.4048667815,0.0001953500
8.3465373579,0.0005988956,-1.4033093944,0.0002118679
8.3421396679,0.0006309124,-1.4015475025,0.0001998610
8.3379624824,0.0005933727,-1.3998707964,0.0001905639
8.3336668353,0.0006262777,-1.3981345340,0.0001919825
8.3294610502,0.0005922140,-1.3964216114,0.0002053746
8.3254656438,0.0006226472,-1.3947908634,0.0002207418
8.3212303714,0.0005833311,-1.3930861799,0.0002121742
8.3174053750,0.0006166995,-1.3915564951,0.0001938164
8.3136104797,0.0005825199,-1.3900219489,0.0001918141
8.3098619842,0.0006168925,-1.3884956008,0.0001997546
8.3057782905,0.0005847985,-1.3868411619,0.0001992979
8.3020060586,0.0006165449,-1.3853144373,0.0001967163
8.2980923837,0.0005878495,-1.3837206966,0.0002031908
8.2940785189,0.0006081640,-1.3820814204,0.0002139430
8.2896204932,0.0005855707,-1.3802714491,0.0002144719
8.2856629683,0.0006122964,-1.3786758711,0.0002031560
8.2818084718,0.0005854162,-1.3771245643,0.0001888845
8.2778661072,0.0006035293,-1.3755181433,0.0001935366
8.2734977783,0.0005834078,-1.3737433472,0.0001929304
8.2695888073,0.0005967320,-1.3721615026,0.0001855912
8.2657957247,0.0005913250,-1.3706202215,0.0001843942
8.2619904832,0.0005886215,-1.3690711809,0.0001856298
8.2577403910,0.0005850297,-1.3673298583,0.0001977744
8.2537920187,0.0005787345,-1.3657209928,0.0001998394
8.2497840550,0.0005974656,-1.3640923163,0.0001971158
8.2457321447,0.0005657964,-1.3624425138,0.0001972951
8.2412633922,0.0005951097,-1.3606311018,0.0001890204
8.2372447194,0.0005647536,-1.3589949821,0.0001884290
8.2333401937,0.0005959979,-1.3574094691,0.0001834764
8.2295592402,0.0005659508,-1.3558593409,0.0001932626
8.2258851715,0.0005867288,-1.3543752291,0.0001803981
8.2218082462,0.0005734045,-1.3527201204,0.0001742015
8.2179703432,0.0005843342,-1.3511535098,0.0001767478
8.2140356915,0.0005801245,-1.3495420185,0.0001846071
8.2100062227,0.0005774597,-1.3478882739,0.0001959510
8.2055728584,0.0005939508,-1.3460668961,0.0002101826
8.2015665441,0.0005731341,-1.3444333592,0.0002105640
8.1976208014,0.0005830982,-1.3428214574,0.0002139464
8.1937318069,0.0005846044,-1.3412375235,0.0002124592
8.1894967026,0.0005725547,-1.3395145779,0.0002088679
8.1857280783,0.0005825188,-1.3379780060,0.0002090788
