Alignment Data,,,
x,y,z,zd
8.393219861,8.393219861,-1.422096504,0.000175142
8.392522209,8.392522209,-1.421826441,0.000166196
8.391025997,8.391025997,-1.421222018,0.00017211
8.389564131,8.389564131,-1.420644047,0.000165135
8.387408865,8.387408865,-1.419777977,0.000168484
8.38406483,8.38406483,-1.418440128,0.000167028
8.380187033,8.380187033,-1.416892488,0.0001605
8.375678204,8.375678204,-1.415088846,0.000155608
8.370792385,8.370792385,-1.413117882,0.00016513
8.36545831,8.36545831,-1.410967372,0.000172275
8.360969888,8.360969888,-1.409164115,0.000170444
8.35695946,8.35695946,-1.407551418,0.000169137
8.353341959,8.353341959,-1.40610461,0.000159171
8.349606643,8.349606643,-1.404610304,0.000148392
8.346234462,8.346234462,-1.403246939,0.00015224
8.342679682,8.342679682,-1.401802981,0.000162334
8.338833641,8.338833641,-1.40025887,0.000154251
8.334223348,8.334223348,-1.39839461,0.00015678
8.329782078,8.329782078,-1.396609474,0.000147333
8.325350747,8.325350747,-1.394810088,0.000155111
8.321103966,8.321103966,-1.393099245,0.000148025
8.316786001,8.316786001,-1.391348324,0.00015131
8.313080059,8.313080059,-1.389849198,0.00014981
8.309474755,8.309474755,-1.388385639,0.000152885
8.305916126,8.305916126,-1.386948415,0.000147976
8.302269624,8.302269624,-1.385483394,0.000134693
8.298108315,8.298108315,-1.383794144,0.000136265
8.294098096,8.294098096,-1.382165399,0.000137973
8.289914557,8.289914557,-1.380459123,0.000146235
8.28571017,8.28571017,-1.37875134,0.000146919
8.281170109,8.281170109,-1.376900462,0.000153718
8.277209878,8.277209878,-1.375285355,0.000159715
8.273361682,8.273361682,-1.373731763,0.000149256
8.269620844,8.269620844,-1.372218025,0.000142154
8.265613553,8.265613553,-1.370586394,0.000144195
8.26192627,8.26192627,-1.369087987,0.00014276
8.258116426,8.258116426,-1.367532852,0.000147854
8.254120558,8.254120558,-1.365908878,0.000145727
8.249535696,8.249535696,-1.364043535,0.000144854
8.245346745,8.245346745,-1.362341605,0.000141346
8.241217174,8.241217174,-1.360651683,0.000149677
8.237213811,8.237213811,-1.359022887,0.000147999
8.232911595,8.232911595,-1.357277758,0.000140648
8.229089414,8.229089414,-1.355724338,0.000136911
8.225317882,8.225317882,-1.354187835,0.000136699
8.221635394,8.221635394,-1.35268357,0.000140376
8.217499812,8.217499812,-1.350995825,0.000142728
8.21359168,8.21359168,-1.34941446,0.000131256
8.209606453,8.209606453,-1.347787686,0.00013365
8.205627878,8.205627878,-1.34616497,0.000134598
8.201667312,8.201667312,-1.344545572,0.000139493
8.197392638,8.197392638,-1.342804554,0.000137895
8.193533487,8.193533487,-1.341244243,0.000124954
8.189671518,8.189671518,-1.339656088,0.000138687
8.185842045,8.185842045,-1.338095084,0.000138523
8.181615534,8.181615534,-1.336376891,0.000133715
8.1777578,8.1777578,-1.334797318,0.000140661
8.173821661,8.173821661,-1.33319056,0.000142901
8.169805034,8.169805034,-1.331565551,0.000130656
8.165393801,8.165393801,-1.329745848,0.000152385
8.161413459,8.161413459,-1.328128136,0.000147876
8.157468082,8.157468082,-1.326531703,0.000136478
8.153499922,8.153499922,-1.324916308,0.000134921
8.149137508,8.149137508,-1.323131333,0.000142494
8.145229386,8.145229386,-1.321530997,0.000150732
8.141352443,8.141352443,-1.319950477,0.000152055
8.137482497,8.137482497,-1.318373158,0.000153258
8.133163843,8.133163843,-1.316630439,0.000137389
8.129215657,8.129215657,-1.315028803,0.000131577
8.125312047,8.125312047,-1.313421369,0.000149992
8.12141961,8.12141961,-1.311838347,0.000148831
8.117182638,8.117182638,-1.310118718,0.000144413
8.113278745,8.113278745,-1.30854837,0.000126579
8.109353842,8.109353842,-1.306947664,0.000130907
8.105436247,8.105436247,-1.305356384,0.000129141
8.101538663,8.101538663,-1.303752667,0.000148322
8.097269359,8.097269359,-1.302035482,0.000130304
8.093371674,8.093371674,-1.3004483,0.000133736
8.089472568,8.089472568,-1.298873435,0.000124704
8.085610933,8.085610933,-1.297308768,0.000121117
8.081399049,8.081399049,-1.295589187,0.000130711
8.0775898,8.0775898,-1.294039652,0.000134194
8.073681791,8.073681791,-1.292440155,0.000148025
8.069708322,8.069708322,-1.290837651,0.000138818
8.065345056,8.065345056,-1.289073102,0.000134147
8.061387201,8.061387201,-1.28746237,0.000140619
8.057456621,8.057456621,-1.285858863,0.000151462
8.053505346,8.053505346,-1.284266094,0.000143752
8.049173855,8.049173855,-1.282520506,0.000135515
8.045277091,8.045277091,-1.280949285,0.000129542
8.041418146,8.041418146,-1.279402043,0.000115485
8.037546303,8.037546303,-1.277828735,0.000122865
8.033257322,8.033257322,-1.276092682,0.000125001
8.029332729,8.029332729,-1.274499878,0.000131865
8.025411465,8.025411465,-1.272928894,0.000118909
8.021508667,8.021508667,-1.271349952,0.000122029
8.01724215,8.01724215,-1.269631746,0.000118321
8.013374665,8.013374665,-1.268067166,0.000122743
8.009514482,8.009514482,-1.266494054,0.000139316
8.005657784,8.005657784,-1.264947394,0.000131543
8.001648951,8.001648951,-1.263340624,0.000123297
7.997470638,7.997470638,-1.261652687,0.000128769
7.993475874,7.993475874,-1.260048231,0.000125464
7.989443724,7.989443724,-1.258420491,0.000131197
7.985461674,7.985461674,-1.25680765,0.000142994
7.981139509,7.981139509,-1.255070223,0.000143538
7.977272957,7.977272957,-1.253521636,0.000139161
7.973372149,7.973372149,-1.251959039,0.000135825
7.969464624,7.969464624,-1.250385393,0.000141662
7.965214204,7.965214204,-1.248683219,0.000139379
7.961370188,7.961370188,-1.247153675,0.000128289
7.957507017,7.957507017,-1.245603275,0.000131208
7.953553973,7.953553973,-1.244017049,0.000134814
7.949134981,7.949134981,-1.24225727,0.000126485
7.945131003,7.945131003,-1.240656453,0.000126211
7.941152364,7.941152364,-1.239057288,0.000135349
7.93725117,7.93725117,-1.237495582,0.000138876
7.932964213,7.932964213,-1.235800986,0.000122263
7.929090568,7.929090568,-1.234264688,0.000113284
7.925269029,7.925269029,-1.232747081,0.000107289
7.921465336,7.921465336,-1.231221433,0.000117347
7.917286927,7.917286927,-1.22956711,0.000107799
7.913414183,7.913414183,-1.22801776,0.000115978
7.909464198,7.909464198,-1.226447372,0.000115431
7.905505179,7.905505179,-1.224875867,0.000113405
7.901525807,7.901525807,-1.223274274,0.000134398
7.897192731,7.897192731,-1.221549102,0.000139643
7.89324875,7.89324875,-1.219996905,0.000127433
7.889334665,7.889334665,-1.21844413,0.00012867
7.885476082,7.885476082,-1.216900537,0.00014373
7.881283649,7.881283649,-1.215238379,0.000146237
7.877481814,7.877481814,-1.213739432,0.000141186
7.873575312,7.873575312,-1.212190554,0.000145694
7.869615286,7.869615286,-1.210641205,0.000130578
7.865247716,7.865247716,-1.208922234,0.000125346
7.861299551,7.861299551,-1.207361729,0.00012836
7.857394802,7.857394802,-1.205817557,0.000133251
7.853523195,7.853523195,-1.204295055,0.000130602
7.849273861,7.849273861,-1.202616144,0.000136795
7.845388666,7.845388666,-1.201091255,0.000133445
7.841519233,7.841519233,-1.19957881,0.000124932
7.837677031,7.837677031,-1.19807424,0.000120332
