Alignment Data,,,
x,y,z,zd
12.64671597,12.64671597,4.378942667,-1.43E-08
12.64551962,12.64551962,4.37809034,1.70038E-05
12.64438512,12.64438512,4.377263675,0.000014649
12.64267388,12.64267388,4.376024207,1.83555E-05
12.64014871,12.64014871,4.374191058,1.93197E-05
12.63674358,12.63674358,4.371722923,2.37426E-05
12.63198672,12.63198672,4.368256789,1.03294E-05
12.62701397,12.62701397,4.36465176,1.30444E-05
12.62172152,12.62172152,4.360803158,2.2376E-06
12.61661717,12.61661717,4.357112735,1.13615E-05
12.61160559,12.61160559,4.353484002,1.31722E-05
12.60771997,12.60771997,4.350662853,5.6887E-06
12.60430341,12.60430341,4.348205727,2.17031E-05
12.60108482,12.60108482,4.345880977,2.60358E-05
12.59784853,12.59784853,4.343537769,2.39948E-05
12.59390365,12.59390365,4.340696592,3.56136E-05
12.58989358,12.58989358,4.337793409,3.12496E-05
12.58550602,12.58550602,4.334620065,0.00002832
12.58091683,12.58091683,4.331322534,4.54804E-05
12.5760217,12.5760217,4.327771927,2.89232E-05
12.5718961,12.5718961,4.324789991,2.41633E-05
12.56809371,12.56809371,4.322046674,2.37498E-05
12.56451896,12.56451896,4.3194694,2.42449E-05
12.56070931,12.56070931,4.316725509,2.65333E-05
12.55721941,12.55721941,4.314204598,0.000020423
12.55356071,12.55356071,4.311563699,1.50612E-05
12.5496698,12.5496698,4.308762321,1.54629E-05
12.54512615,12.54512615,4.305488913,1.25233E-05
12.54085857,12.54085857,4.302412968,7.0417E-06
12.53665204,12.53665204,4.29939768,0.000017052
12.53259414,12.53259414,4.296472299,8.9023E-06
12.52836248,12.52836248,4.293415769,-6.6987E-06
12.5245997,12.5245997,4.290733961,1.44435E-05
12.52081972,12.52081972,4.288014426,9.2175E-06
12.51705987,12.51705987,4.28530902,2.6802E-06
12.51285094,12.51285094,4.28228558,-6.939E-07
12.50891718,12.50891718,4.279458604,-0.000006166
12.50482406,12.50482406,4.276535163,5.0598E-06
12.50062946,12.50062946,4.273527398,3.5114E-06
