Alignment Data
x,y,z,zd
12.6576949423,0.0009758532,4.3868849249,-0.0000402781
12.6574081294,0.0009631060,4.3866880726,-0.0000284857
12.6565890192,0.0009612905,4.3861024730,-0.0000182494
12.6543589257,0.0009612519,4.3844707418,-0.0000280065
12.6521467432,0.0009801795,4.3828716925,-0.0000184521
12.6490091870,0.0009634537,4.3805811767,-0.0000280547
12.6450592010,0.0009790979,4.3777089248,-0.0000297575
12.6399684707,0.0009607884,4.3739973543,-0.0000433739
12.6350334767,0.0009798705,4.3704151126,-0.0000425150
12.6302292372,0.0009634151,4.3669370488,-0.0000340414
12.6258662751,0.0009736128,4.3637780983,-0.0000280929
12.6215580392,0.0009574664,4.3606434236,-0.0000388663
12.6178718361,0.0009725313,4.3579906884,-0.0000197638
12.6142699755,0.0009672006,4.3553921344,-0.0000085258
12.6106195396,0.0009775143,4.3527433127,-0.0000132819
12.6064834511,0.0009705613,4.3497537321,-0.0000081513
12.6025393657,0.0009714497,4.3469060855,-0.0000012150
12.5984038975,0.0009756601,4.3439092817,-0.0000060829
12.5941805771,0.0009815316,4.3408435799,-0.0000175178
12.5900013202,0.0009711793,4.3378060510,-0.0000338671
12.5855498013,0.0009733425,4.3346026120,-0.0000206458
12.5816395039,0.0009707158,4.3317839451,-0.0000148753
12.5778109585,0.0009741537,4.3290252902,-0.0000091738
12.5740587220,0.0009763169,4.3263174529,-0.0000087418
12.5700621183,0.0009796002,4.3234269913,-0.0000156330
12.5664583234,0.0009769735,4.3208340748,-0.0000093448
12.5627468962,0.0009806432,4.3181804414,0.0000129110
12.5588097942,0.0009783255,4.3153529968,0.0000230176
12.5543145280,0.0009792140,4.3120991756,0.0000077103
12.5501892916,0.0009757375,4.3091120306,-0.0000087363
12.5461322069,0.0009801410,4.3061947805,-0.0000055200
12.5421609657,0.0009773985,4.3033462347,0.0000034990
12.5378260271,0.0009768577,4.3002378126,0.0000130944
12.5339605970,0.0009807977,4.2974648527,0.0000193441
12.5301789699,0.0009713339,4.2947421727,0.0000146163
12.5264891797,0.0009835403,4.2920698904,-0.0000066783
12.5224014279,0.0009738061,4.2891439003,0.0000031383
12.5184688372,0.0009877507,4.2863363860,0.0000188979
12.5143542113,0.0009699434,4.2833809934,0.0000163173
12.5102164931,0.0009880984,4.2804051979,0.0000087181
12.5057248082,0.0009784415,4.2771796113,0.0000039021
12.5017129414,0.0009764328,4.2743005757,0.0000003980
12.4978102351,0.0009738834,4.2715286835,0.0000247237
12.4939596697,0.0009821884,4.2687722203,0.0000260836
12.4901687324,0.0009633380,4.2660509656,0.0000189417
12.4860758838,0.0009821884,4.2631158952,0.0000130151
12.4822988443,0.0009606727,4.2604166225,0.0000158406
12.4784237534,0.0009793686,4.2576513436,0.0000217752
12.4744506138,0.0009756603,4.2548149236,0.0000256062
12.4700107879,0.0009732268,4.2516351238,0.0000183786
12.4660087977,0.0009688232,4.2487875311,0.0000293216
12.4620355789,0.0009692095,4.2459556682,0.0000343445
12.4580495820,0.0009722611,4.2431026346,0.0000262202
12.4538031082,0.0009733813,4.2400728418,0.0000260339
12.4500317050,0.0009816863,4.2373795562,0.0000223714
12.4463174887,0.0009677030,4.2347427986,0.0000334909
12.4425857444,0.0009743856,4.2320806580,0.0000307589
12.4383019231,0.0009724543,4.2290359814,0.0000377364
12.4342678070,0.0009696731,4.2261534601,0.0000278248
12.4302492918,0.0009713727,4.2232828790,0.0000176228
12.4262629786,0.0009805661,4.2204482295,0.0000193251
12.4218987555,0.0009741925,4.2173470170,0.0000220944
12.4179368485,0.0009745788,4.2145295253,0.0000213010
12.4139830143,0.0009740767,4.2117128089,0.0000144597
12.4100674873,0.0009714500,4.2089263873,0.0000096227
12.4058443731,0.0009785961,4.2059207802,0.0000029188
12.4020185155,0.0009700208,4.2031981975,-0.0000039241
12.3981608719,0.0009720294,4.2004633208,-0.0000015249
12.3942687442,0.0009679349,4.1977004293,-0.0000037151
12.3903295022,0.0009677031,4.1949071238,-0.0000039688
12.3860021161,0.0009677031,4.1918409167,-0.0000031550
12.3820519082,0.0009648833,4.1890354792,-0.0000100267
12.3780587905,0.0009715659,4.1862155034,-0.0000021345
12.3741141008,0.0009558830,4.1834255949,0.0000004471
12.3698912555,0.0009658490,4.1804219180,-0.0000150246
12.3661542504,0.0009634155,4.1777774640,-0.0000160958
12.3624227658,0.0009695959,4.1751410840,-0.0000139620
12.3585857371,0.0009621794,4.1724382334,-0.0000046724
12.3542403917,0.0009660422,4.1693634831,-0.0000092171
12.3502713736,0.0009651924,4.1665528238,-0.0000167054
12.3463503918,0.0009707548,4.1637860583,-0.0000152957
12.3424486800,0.0009646516,4.1610336295,-0.0000142078
12.3380692250,0.0009659263,4.1579632314,0.0000048102
12.3340834062,0.0009643426,4.1551458065,-0.0000020345
12.3301554775,0.0009721068,4.1523614641,-0.0000176921
12.3263057847,0.0009537199,4.1496416139,-0.0000250363
12.3220687500,0.0009673556,4.1466724222,-0.0000099849
12.3181134698,0.0009599004,4.1438978808,0.0000001528
12.3140992605,0.0009646130,4.1410779733,0.0000053077
12.3100959830,0.0009619091,4.1382573360,0.0000009318
12.3057080750,0.0009656173,4.1351670810,-0.0000037498
12.3017249920,0.0009510547,4.1323673080,-0.0000037717
12.2977375842,0.0009541063,4.1295627048,-0.0000066814
12.2938037377,0.0009564239,4.1267988691,-0.0000075328
12.2899953579,0.0009596300,4.1241270419,-0.0000055159
12.2859185467,0.0009526770,4.1212703417,-0.0000010161
12.2821547299,0.0009528316,4.1186341031,0.0000032607
12.2782582947,0.0009520590,4.1159209940,0.0000226763
12.2742687232,0.0009554196,4.1131168144,0.0000152519
12.2699201630,0.0009544153,4.1100621068,0.0000077068
12.2660394142,0.0009477327,4.1073381496,0.0000020025
12.2621318947,0.0009610207,4.1046190876,0.0000188949
12.2581703537,0.0009461876,4.1018507227,0.0000232362
12.2537999326,0.0009636860,4.0987884361,0.0000185769
12.2499426625,0.0009515183,4.0960827563,0.0000104228
12.2461735161,0.0009607503,4.0934414549,0.0000040277
