Alignment Data
x,y,z,zd
13.0334765484,0.0009546713,3.6568857505,0.0000769833
13.0293820724,0.0009836815,3.6517453507,0.0000800932
13.0135055391,0.0009764192,3.6318808144,0.0000873316
13.0094430784,0.0009558686,3.6267776317,0.0000504647
13.0053920378,0.0009757238,3.6217376052,0.0000550512
13.0013228028,0.0009608903,3.6166888826,0.0000661187
12.9969165138,0.0009662983,3.6112081892,0.0000558735
12.9930523210,0.0009640578,3.6064205854,0.0000584905
12.9893022901,0.0009756850,3.6017953723,0.0000755459
12.9855451918,0.0009630148,3.5971584167,0.0000832684
12.9813652547,0.0009583020,3.5920044407,0.0000892535
12.9774759563,0.0009688863,3.5871775905,0.0000565497
12.9735433907,0.0009647916,3.5823419943,0.0000615547
12.9696138753,0.0009692339,3.5775108819,0.0000603903
12.9652716724,0.0009547867,3.5722055519,0.0000842583
12.9612964609,0.0009698132,3.5673378080,0.0000879447
12.9572933665,0.0009506147,3.5624233200,0.0000719669
12.9533209761,0.0009758006,3.5575443814,0.0000469398
12.9489949188,0.0009494172,3.5522385301,0.0000192112
12.9450797069,0.0009658730,3.5475210341,0.0000714445
12.9411628819,0.0009519280,3.5427595482,0.0000748925
12.9372550156,0.0009579927,3.5380119735,0.0000746212
12.9333856970,0.0009573746,3.5332978677,0.0000543798
12.9291595458,0.0009480650,3.5281427890,0.0000185356
12.9252719844,0.0009585334,3.5234585393,0.0000364709
12.9213141692,0.0009555203,3.5186846894,0.0000429966
12.9173329444,0.0009579539,3.5138980571,0.0000581182
12.9130327848,0.0009422706,3.5086745664,0.0000132950
12.9092505810,0.0009661045,3.5041273288,0.0000143036
12.9053996608,0.0009432362,3.4995287024,0.0000401827
12.9014814285,0.0009583014,3.4948096640,0.0000198854
12.8970978301,0.0009398755,3.4895358233,-0.0000050145
12.8931669590,0.0009516572,3.4848378154,-0.0000032372
12.8893045298,0.0009422318,3.4802095279,-0.0000200538
12.8854045482,0.0009498802,3.4755827403,0.0000029505
12.8810519828,0.0009365147,3.4704226734,0.0000245620
12.8770798178,0.0009518116,3.4656912430,0.0000148571
12.8732163292,0.0009282867,3.4611266894,0.0000363709
12.8694566272,0.0009498415,3.4566474323,0.0000138576
12.8653355605,0.0009382142,3.4517801657,0.0000247733
12.8615456466,0.0009385618,3.4473015713,0.0000259862
12.8576373542,0.0009371325,3.4426766653,0.0000144212
12.8536590742,0.0009389094,3.4379788159,0.0000058696
12.8493268821,0.0009392957,3.4329056311,0.0000315234
12.8453641981,0.0009363212,3.4282553529,0.0000382375
12.8413577519,0.0009389866,3.4235611874,0.0000457564
12.8373782272,0.0009375187,3.4188904861,0.0000384524
12.8334552092,0.0009346215,3.4142774432,0.0000160703
12.8292315067,0.0009355872,3.4093267084,0.0000006297
12.8253666010,0.0009439309,3.4048463778,0.0000297969
12.8214068347,0.0009275137,3.4002639707,0.0000610897
12.8174021568,0.0009476006,3.3955914017,0.0000478860
12.8131091980,0.0009385228,3.3905713760,0.0000152120
12.8092875858,0.0009318400,3.3861445443,0.0000216915
12.8054254923,0.0009526222,3.3816859904,0.0000372433
12.8014468358,0.0009309129,3.3770837527,0.0000376802
12.7970256740,0.0009518496,3.3719579846,0.0000188038
12.7930490232,0.0009338100,3.3673641395,0.0000114978
12.7891364851,0.0009415357,3.3628486920,0.0000022750
12.7852712510,0.0009406472,3.3584292101,0.0000283464
12.7810516119,0.0009396042,3.3535874683,0.0000327599
12.7771172828,0.0009461710,3.3490729122,0.0000301041
12.7732845717,0.0009340802,3.3446736157,0.0000200756
12.7693980944,0.0009338484,3.3402205357,0.0000117013
12.7650715369,0.0009451666,3.3352845605,0.0000164672
12.7610916205,0.0009335007,3.3307615011,0.0000315648
12.7570949857,0.0009428874,3.3261895383,0.0000103355
12.7531188553,0.0009368227,3.3216609315,0.0000026789
12.7488424655,0.0009360887,3.3167896594,-0.0000133958
12.7449635028,0.0009473296,3.3124057938,0.0000003147
12.7410598963,0.0009280539,3.3080029564,0.0000168577
12.7371599646,0.0009440847,3.3035737021,-0.0000033169
12.7332848611,0.0009289423,3.2992025513,0.0000004788
12.7290959713,0.0009373633,3.2945120080,0.0000323520
12.7252360418,0.0009296375,3.2901753963,0.0000410655
12.7212887848,0.0009385993,3.2857353151,0.0000384448
12.7173041397,0.0009316848,3.2812530819,0.0000293847
12.7129911577,0.0009291352,3.2763862921,-0.0000027839
12.7091685317,0.0009420758,3.2721121946,0.0000018789
12.7053193292,0.0009225297,3.2678234887,0.0000158096
12.7014275594,0.0009425393,3.2635005063,0.0000370595
12.6971231435,0.0009218729,3.2586720414,0.0000064572
12.6932395618,0.0009398352,3.2543536609,0.0000105657
12.6893885446,0.0009269718,3.2500493931,-0.0000133401
12.6855967688,0.0009307574,3.2458423279,-0.0000116067
12.6813399920,0.0009336931,3.2411581088,0.0000223689
12.6773903973,0.0009219886,3.2367808823,0.0000164877
12.6734564080,0.0009383671,3.2324104597,-0.0000059492
