Alignment Data
x,y,z,zd
12.5457594990,-0.0000980267,-0.0497970551,-0.0000428207
12.5451903289,-0.0001172999,-0.0497272477,-0.0000429460
12.5442850326,-0.0001100000,-0.0496112549,-0.0000381640
12.5427719822,-0.0001055197,-0.0494334470,-0.0000461685
12.5402222837,-0.0001128582,-0.0491099318,-0.0000356093
12.5370542483,-0.0001167592,-0.0487456123,-0.0000598554
12.5332376774,-0.0001048631,-0.0482544698,-0.0000363996
12.5290041446,-0.0001022367,-0.0477478783,-0.0000480469
12.5245666516,-0.0001011166,-0.0472059656,-0.0000487253
12.5196253009,-0.0001094207,-0.0465731626,-0.0000193781
12.5152748625,-0.0001008462,-0.0460664059,-0.0000432609
12.5111792916,-0.0001043224,-0.0455681303,-0.0000439777
12.5073861688,-0.0001052493,-0.0451032148,-0.0000407189
12.5033158965,-0.0000921945,-0.0446111603,-0.0000435308
12.4995457557,-0.0001014642,-0.0441426930,-0.0000329559
12.4956163010,-0.0000992627,-0.0436494533,-0.0000164611
12.4916394959,-0.0001032409,-0.0431721223,-0.0000211018
12.4871698398,-0.0000991854,-0.0426297807,-0.0000198393
12.4830532645,-0.0001040520,-0.0421345151,-0.0000223239
12.4789080709,-0.0001142873,-0.0416477826,-0.0000362318
12.4748388469,-0.0001024684,-0.0411688596,-0.0000482157
12.4704628900,-0.0001191538,-0.0406627549,-0.0000694026
12.4666431267,-0.0001103090,-0.0401845107,-0.0000509038
12.4628512091,-0.0001183814,-0.0397411076,-0.0000634078
12.4590450807,-0.0001147894,-0.0392638299,-0.0000432566
12.4548611558,-0.0001179179,-0.0387432197,-0.0000245803
12.4511015281,-0.0001194242,-0.0383007850,-0.0000326695
12.4473558816,-0.0001125878,-0.0378724495,-0.0000527029
12.4435737774,-0.0001199263,-0.0374298964,-0.0000623956
12.4392828341,-0.0001142487,-0.0369129842,-0.0000579794
12.4352735976,-0.0001156391,-0.0364386225,-0.0000618949
12.4312477934,-0.0001042838,-0.0359542560,-0.0000572236
12.4272536208,-0.0001041293,-0.0354823288,-0.0000606682
12.4233245262,-0.0001008463,-0.0350198705,-0.0000652959
12.4190498861,-0.0000924649,-0.0344838787,-0.0000368579
12.4151230339,-0.0001002669,-0.0340053909,-0.0000240669
12.4112216719,-0.0000966749,-0.0335443252,-0.0000251406
12.4072932366,-0.0000913449,-0.0330815574,-0.0000271796
12.4029674618,-0.0000945120,-0.0326055822,-0.0000623957
12.3989465677,-0.0000845085,-0.0321328794,-0.0000642636
12.3948819944,-0.0000919242,-0.0316396238,-0.0000501529
12.3908087311,-0.0000842381,-0.0311573371,-0.0000474477
12.3864655410,-0.0000947051,-0.0306798916,-0.0000807151
12.3825962779,-0.0000895682,-0.0302276342,-0.0000828756
12.3787568711,-0.0000843154,-0.0297528228,-0.0000584470
12.3749220223,-0.0000972929,-0.0292833798,-0.0000383254
12.3707135095,-0.0000938940,-0.0287921190,-0.0000395599
12.3669215693,-0.0000906110,-0.0283490220,-0.0000396638
12.3630805407,-0.0000887957,-0.0279209837,-0.0000600354
12.3591223362,-0.0000906883,-0.0274545033,-0.0000550865
12.3546971594,-0.0000979881,-0.0269371117,-0.0000530042
12.3507394180,-0.0000826159,-0.0265009130,-0.0000770802
12.3468795453,-0.0000954390,-0.0260598556,-0.0000843667
12.3430669084,-0.0000791398,-0.0255888695,-0.0000557047
12.3388315973,-0.0000903793,-0.0250998060,-0.0000573794
12.3349667451,-0.0000791784,-0.0246290850,-0.0000338990
12.3310746254,-0.0000784060,-0.0241857843,-0.0000404406
12.3272230591,-0.0000714151,-0.0237396677,-0.0000389312
12.3233471608,-0.0000702950,-0.0233127449,-0.0000588727
12.3190228304,-0.0000733849,-0.0228076050,-0.0000516438
12.3150372482,-0.0000849334,-0.0223757661,-0.0000780996
12.3110464914,-0.0000575878,-0.0219258130,-0.0000864464
12.3071190769,-0.0000788308,-0.0214438059,-0.0000548877
12.3028109690,-0.0000672051,-0.0209577863,-0.0000623197
12.2988523489,-0.0000767065,-0.0204786345,-0.0000359792
12.2948970107,-0.0000702564,-0.0200286447,-0.0000378410
12.2899276670,-0.0000780197,-0.0194723054,-0.0000483619
12.2867462266,-0.0000652353,-0.0190989016,-0.0000373836
12.2829866230,-0.0000874825,-0.0186884799,-0.0000547610
12.2775957678,-0.0000840064,-0.0180618438,-0.0000406136
12.2744747704,-0.0000728828,-0.0177144007,-0.0000472660
12.2707288410,-0.0000802599,-0.0172843204,-0.0000416978
12.2668441827,-0.0000807234,-0.0168638835,-0.0000609342
12.2629770219,-0.0000894524,-0.0164118531,-0.0000460290
12.2590547099,-0.0000842382,-0.0159585046,-0.0000354603
12.2547170255,-0.0000770928,-0.0154481468,-0.0000140918
12.2508700245,-0.0000766679,-0.0150411154,-0.0000401356
12.2471264909,-0.0000709516,-0.0146384195,-0.0000583256
12.2433770888,-0.0000811483,-0.0142049389,-0.0000458542
12.2391313236,-0.0000691750,-0.0137436033,-0.0000606141
12.2351838710,-0.0000762045,-0.0133082501,-0.0000672860
12.2311625364,-0.0000708358,-0.0128563205,-0.0000650401
12.2271802105,-0.0000646560,-0.0123913007,-0.0000447297
12.2231825516,-0.0000731146,-0.0119492218,-0.0000484587
12.2187489743,-0.0000733463,-0.0114439517,-0.0000368889
12.2147695460,-0.0000667030,-0.0109893217,-0.0000247415
12.2109058647,-0.0000648877,-0.0105825190,-0.0000469658
12.2071301647,-0.0000652740,-0.0101549831,-0.0000381292
12.2029598699,-0.0000627634,-0.0097031157,-0.0000480769
12.1990301089,-0.0000650422,-0.0092888132,-0.0000683354
12.1950255401,-0.0000695612,-0.0088347672,-0.0000565056
12.1910534521,-0.0000717628,-0.0083894846,-0.0000492358
12.1867311833,-0.0000712220,-0.0079375671,-0.0000732482
12.1828459952,-0.0000835043,-0.0074798525,-0.0000427140
12.1789928230,-0.0000679004,-0.0070496024,-0.0000355418
12.1751731363,-0.0000772473,-0.0066221731,-0.0000269405
12.1709857731,-0.0000747368,-0.0061927811,-0.0000560357
12.1671645798,-0.0000709903,-0.0057852419,-0.0000662906
12.1632599277,-0.0000709903,-0.0053364825,-0.0000438583
12.1592401441,-0.0000723807,-0.0049129341,-0.0000585815
12.1548087352,-0.0000729987,-0.0044413011,-0.0000693621
12.1508755430,-0.0000789854,-0.0039928840,-0.0000484735
12.1470344623,-0.0000725739,-0.0035630912,-0.0000356080
12.1432784643,-0.0000652740,-0.0031514198,-0.0000310652
12.1390541449,-0.0000785992,-0.0026944776,-0.0000313485
12.1351315737,-0.0000580900,-0.0022641736,-0.0000249775
12.1311930519,-0.0000741961,-0.0018518652,-0.0000377127
12.1272563054,-0.0000623772,-0.0014670575,-0.0000771420
12.1233189442,-0.0000782129,-0.0010275175,-0.0000612898
12.1189371672,-0.0000646174,-0.0005538720,-0.0000584299
12.1149484396,-0.0000743119,-0.0001232481,-0.0000556975
12.1110244801,-0.0000678618,0.0003047440,-0.0000480304
12.1072061126,-0.0000718786,0.0007426544,-0.0000185449
12.1029576568,-0.0000701020,0.0011819552,-0.0000329888
12.0989933388,-0.0000768611,0.0016033103,-0.0000343813
12.0949496158,-0.0000758955,0.0020373032,-0.0000309562
12.0910285149,-0.0000816504,0.0024412366,-0.0000439091
12.0867490477,-0.0000673597,0.0028887702,-0.0000506597
12.0828915189,-0.0000807235,0.0033034373,-0.0000448567
12.0790104303,-0.0000742347,0.0037043564,-0.0000546961
12.0751327032,-0.0000715697,0.0041272146,-0.0000416362
12.0708830916,-0.0000947825,0.0045639739,-0.0000532817
12.0670812946,-0.0000724966,0.0049908046,-0.0000269879
12.0632291734,-0.0000856673,0.0053889823,-0.0000340551
12.0592790700,-0.0000865170,0.0057932719,-0.0000446970
12.0548785283,-0.0000650423,0.0062715293,-0.0000279454
12.0509403977,-0.0000896069,0.0066606020,-0.0000512200
12.0471179768,-0.0000714538,0.0070546849,-0.0000567696
12.0432775212,-0.0000768611,0.0074713274,-0.0000410499
12.0389385033,-0.0000704496,0.0079184130,-0.0000462160
12.0349570794,-0.0000748913,0.0083197746,-0.0000591636
12.0309968602,-0.0000723808,0.0087512230,-0.0000391802
12.0271009074,-0.0000797193,0.0091856020,-0.0000089682
12.0231792305,-0.0000756252,0.0095672229,-0.0000335605
12.0188178532,-0.0000697930,0.0100357510,-0.0000160567
12.0148592938,-0.0000641539,0.0104284232,-0.0000320825
12.0109512129,-0.0000781357,0.0108168433,-0.0000465234
12.0070825255,-0.0000709131,0.0112017063,-0.0000598481
12.0028326107,-0.0000825774,0.0116689144,-0.0000293630
11.9989552337,-0.0000731146,0.0120483334,-0.0000477425
11.9950472319,-0.0000712221,0.0124647196,-0.0000316762
11.9911559915,-0.0000869419,0.0128643811,-0.0000299983
11.9869358922,-0.0000648878,0.0133201939,-0.0000051046
11.9830981413,-0.0000904567,0.0136838927,-0.0000326510
11.9791736864,-0.0000683253,0.0140786913,-0.0000373138
11.9751993338,-0.0000850108,0.0144829979,-0.0000369054
11.9709296060,-0.0000709131,0.0149162230,-0.0000368758
11.9671487845,-0.0000799897,0.0153010071,-0.0000350605
11.9632992166,-0.0000722649,0.0156801972,-0.0000452008
11.9594614298,-0.0000855129,0.0160821757,-0.0000307563
11.9551626985,-0.0000714925,0.0165245986,-0.0000216953
11.9512328772,-0.0000919244,0.0169217204,-0.0000200811
11.9472402189,-0.0000670894,0.0173288898,-0.0000140940
11.9432985790,-0.0000854743,0.0177101778,-0.0000282192
11.9388709300,-0.0000729602,0.0181416461,-0.0000401573
11.9348221180,-0.0000839679,0.0185651230,-0.0000214423
11.9307737295,-0.0000823457,0.0189580868,-0.0000325236
11.9269060879,-0.0000753935,0.0193268163,-0.0000491696
11.9230483345,-0.0000937397,0.0197094121,-0.0000503501
11.9187474810,-0.0000854743,0.0201574797,-0.0000294162
11.9148541192,-0.0000856674,0.0205502762,-0.0000226262
11.9110073343,-0.0000827320,0.0209324083,-0.0000212688
11.9071925662,-0.0000885642,0.0212997449,-0.0000309346
11.9029540868,-0.0000877531,0.0217454526,-0.0000033989
11.8989892747,-0.0000893753,0.0221073970,-0.0000319547
11.8949903222,-0.0000936625,0.0224838293,-0.0000487273
11.8910136168,-0.0000906499,0.0228876444,-0.0000352743
11.8867428880,-0.0000929673,0.0233063974,-0.0000350171
11.8829383549,-0.0001013872,0.0236638478,-0.0000497441
11.8790126298,-0.0001000740,0.0240632560,-0.0000337409
11.8750520687,-0.0001145193,0.0244618573,-0.0000213006
11.8707530306,-0.0001101548,0.0248749368,-0.0000266491
11.8669530171,-0.0001112749,0.0252450954,-0.0000257109
11.8631577539,-0.0001159870,0.0256087265,-0.0000302416
11.8592575570,-0.0001018894,0.0259884739,-0.0000282133
11.8548768758,-0.0001229007,0.0264353599,-0.0000048275
11.8508803561,-0.0001054814,0.0267818231,-0.0000440320
11.8469986582,-0.0001190769,0.0271321388,-0.0000676693
11.8431976040,-0.0001110046,0.0275392626,-0.0000261238
11.8389459161,-0.0001117384,0.0279373157,-0.0000362798
11.8350129311,-0.0001134379,0.0283289264,-0.0000216112
11.8310425604,-0.0001168368,0.0287132797,-0.0000171318
11.8271124709,-0.0001097300,0.0290784713,-0.0000273153
11.8231784044,-0.0001227462,0.0294592684,-0.0000216308
11.8188065280,-0.0001026232,0.0298799680,-0.0000170345
11.8148418341,-0.0001219351,0.0302384440,-0.0000352207
11.8109507528,-0.0001152146,0.0306113963,-0.0000313019
11.8071592373,-0.0001282308,0.0309779280,-0.0000237554
11.8029642452,-0.0001135924,0.0313585966,-0.0000395772
11.7990444308,-0.0001152918,0.0317510193,-0.0000169752
11.7950785799,-0.0001147511,0.0321461890,0.0000046808
11.7911655221,-0.0001111205,0.0324891721,-0.0000202364
11.7869127543,-0.0001169527,0.0328975029,-0.0000110227
11.7829975345,-0.0001196563,0.0332541212,-0.0000211777
11.7790319145,-0.0001137083,0.0336240311,-0.0000221123
11.7750860687,-0.0001212399,0.0339938237,-0.0000206654
11.7708124447,-0.0001108501,0.0343859731,-0.0000267289
11.7669951308,-0.0001252568,0.0347535906,-0.0000141629
11.7631500472,-0.0000991085,0.0351125192,-0.0000122553
11.7592186846,-0.0001271880,0.0354725010,-0.0000166693
11.7548252969,-0.0001072967,0.0358876053,-0.0000080242
11.7508404057,-0.0001195019,0.0362647027,0.0000011016
11.7469437626,-0.0001159098,0.0366103893,-0.0000123949
11.7430535309,-0.0001143263,0.0369606718,-0.0000200737
11.7386899196,-0.0001173389,0.0373493165,-0.0000321985
11.7347562398,-0.0001132062,0.0377169843,-0.0000251341
11.7308610643,-0.0001100004,0.0380596969,-0.0000388601
11.7270345983,-0.0001111978,0.0384497564,0.0000016636
11.7231566100,-0.0001105025,0.0388082262,0.0000065136
11.7188059748,-0.0001083010,0.0391802613,-0.0000174246
11.7148376908,-0.0001112750,0.0395545761,-0.0000035958
11.7109324353,-0.0001174548,0.0398965177,-0.0000157741
11.7070890130,-0.0001153691,0.0402513534,-0.0000088312
11.7029013602,-0.0001123951,0.0406332214,-0.0000053140
11.6990179644,-0.0001268404,0.0409704874,-0.0000182566
11.6950407574,-0.0001127427,0.0413181131,-0.0000286485
11.6911403312,-0.0001257976,0.0416918034,-0.0000054243
11.6869066795,-0.0001240595,0.0420518145,-0.0000251035
11.6830172594,-0.0001133221,0.0424126409,-0.0000124374
11.6790653507,-0.0001232484,0.0427818555,0.0000036685
11.6750611095,-0.0001201585,0.0431411484,0.0000058400
11.6707009347,-0.0001219352,0.0435061929,-0.0000172218
11.6668284679,-0.0001218193,0.0438307905,-0.0000366550
11.6629865517,-0.0001226691,0.0441813132,-0.0000268321
11.6590934618,-0.0001229780,0.0445205234,-0.0000322329
11.6547461503,-0.0001314753,0.0449403110,0.0000034823
11.6507936988,-0.0001269563,0.0452675133,-0.0000178204
11.6469214267,-0.0001225532,0.0456313225,0.0000051841
11.6430448666,-0.0001289261,0.0459682492,0.0000015537
11.6387739074,-0.0001209310,0.0463480490,0.0000068721
11.6348617770,-0.0001180342,0.0466878743,0.0000043445
11.6309574858,-0.0001305097,0.0470021678,-0.0000223942
11.6270786472,-0.0001272653,0.0473473570,-0.0000153861
11.6231940150,-0.0001363033,0.0476808819,-0.0000199204
11.6189016208,-0.0001325954,0.0480608729,-0.0000127442
11.6149742343,-0.0001133994,0.0483928161,-0.0000212422
11.6110658507,-0.0001369599,0.0487405167,-0.0000116990
11.6072370263,-0.0001110820,0.0490893273,0.0000064533
11.6030284779,-0.0001167983,0.0494436991,-0.0000019234
11.5991161530,-0.0001095370,0.0497593388,-0.0000228399
11.5951603411,-0.0001238278,0.0500839437,-0.0000378857
11.5911982348,-0.0001135539,0.0504370138,-0.0000243553
11.5869109000,-0.0001179956,0.0508196633,-0.0000083822
11.5829786466,-0.0001197723,0.0511399760,-0.0000237067
11.5790218311,-0.0001205834,0.0514845850,-0.0000161834
11.5750028358,-0.0001226305,0.0518421001,-0.0000003863
11.5706126897,-0.0001186522,0.0522022770,-0.0000127189
11.5667207580,-0.0001213945,0.0525499290,0.0000053661
11.5628793026,-0.0001252955,0.0528598782,-0.0000093615
11.5589799549,-0.0001195406,0.0531978347,-0.0000003492
11.5546637682,-0.0001325182,0.0535491184,-0.0000124388
11.5507777055,-0.0001217808,0.0538752918,-0.0000127670
11.5469320403,-0.0001281537,0.0541868997,-0.0000236506
11.5431099730,-0.0001274971,0.0545091649,-0.0000212912
11.5388679386,-0.0001234416,0.0548597044,-0.0000251006
11.5349764700,-0.0001410541,0.0552056136,-0.0000036013
11.5310325908,-0.0001261839,0.0555300899,-0.0000072650
11.5272142693,-0.0001255659,0.0558490307,-0.0000054044
11.5233831256,-0.0001272654,0.0561682039,-0.0000037701
11.5191263374,-0.0001291966,0.0565160381,-0.0000080422
11.5152106131,-0.0001281537,0.0568417843,-0.0000055293
11.5113103746,-0.0001286172,0.0571401825,-0.0000284563
11.5074436994,-0.0001341791,0.0574685882,-0.0000179905
11.5031288640,-0.0001316299,0.0578381707,-0.0000024692
11.4991112566,-0.0001316685,0.0581713403,0.0000017195
11.4950785480,-0.0001229009,0.0585038152,0.0000046469
11.4910953515,-0.0001345653,0.0588223035,-0.0000017077
11.4867822144,-0.0001333293,0.0591766269,0.0000016027
11.4828876148,-0.0001385822,0.0594907409,-0.0000005758
11.4789935165,-0.0001303167,0.0597958545,-0.0000110892
11.4750789887,-0.0001378483,0.0601213250,-0.0000022719
11.4707449181,-0.0001336383,0.0604719014,-0.0000015503
11.4668161766,-0.0001433715,0.0607790257,-0.0000108936
11.4628587780,-0.0001310119,0.0610940309,-0.0000140224
11.4588940814,-0.0001388139,0.0614345290,0.0000084009
11.4545649145,-0.0001390071,0.0617670653,-0.0000056398
11.4507558226,-0.0001440668,0.0621003636,0.0000233539
11.4470511597,-0.0001416721,0.0623668314,-0.0000055684
11.4433918391,-0.0001353378,0.0626589024,-0.0000047189
11.4392252668,-0.0001431012,0.0629694831,-0.0000250592
11.4352755913,-0.0001275358,0.0632754462,-0.0000321328
11.4312594118,-0.0001449938,0.0636175683,-0.0000076622
11.4273146030,-0.0001190386,0.0639410651,0.0000044719
11.4233776344,-0.0001383891,0.0642525500,0.0000058488
11.4190365331,-0.0001383119,0.0646008802,0.0000129743
11.4150694390,-0.0001237893,0.0649104734,0.0000114340
11.4111476474,-0.0001422515,0.0652046904,-0.0000012962
11.4072743638,-0.0001252184,0.0655055836,-0.0000029362
11.4030157954,-0.0001274200,0.0658419309,0.0000014924
11.3990760820,-0.0001241756,0.0661181102,-0.0000287349
11.3951071727,-0.0001246004,0.0664366242,-0.0000182570
11.3911771162,-0.0001282311,0.0667529713,-0.0000062965
11.3868971505,-0.0001324024,0.0670759550,-0.0000140833
11.3830333298,-0.0001262999,0.0674044617,0.0000164560
11.3791476863,-0.0001354151,0.0676907155,0.0000036735
11.3751937610,-0.0001255274,0.0680045523,0.0000138508
11.3708440444,-0.0001210471,0.0683279654,0.0000039436
11.3668853294,-0.0001350675,0.0686261213,-0.0000005886
11.3629626477,-0.0001223989,0.0689238864,-0.0000021273
11.3590687001,-0.0001300850,0.0692154694,-0.0000070366
11.3548365458,-0.0001229783,0.0695285575,-0.0000154932
11.3510335126,-0.0001334067,0.0698166554,-0.0000157160
11.3472928920,-0.0001278449,0.0701243294,0.0000089421
11.3435095934,-0.0001263385,0.0704030389,0.0000019845
11.3391811174,-0.0001245232,0.0707281467,0.0000009728
11.3351049924,-0.0001243687,0.0710310611,-0.0000025250
11.3311015146,-0.0001283470,0.0713476030,0.0000137215
