Alignment Data
x,y,z,zd
12.5035985192,-0.0003403890,-0.0423877545,-0.0000645483
12.5027371672,-0.0003580013,-0.0422890250,-0.0000693092
12.5016566372,-0.0003433630,-0.0422083020,-0.0001183800
12.4999482991,-0.0003512036,-0.0419895599,-0.0001047739
12.4974215567,-0.0003444058,-0.0416715067,-0.0000899722
12.4936422584,-0.0003518602,-0.0411930557,-0.0000647473
12.4894227487,-0.0003445217,-0.0407043856,-0.0000815930
12.4847329765,-0.0003504311,-0.0401493771,-0.0000878147
12.4799658835,-0.0003497359,-0.0395725873,-0.0000808302
12.4749648622,-0.0003518602,-0.0390246975,-0.0001299679
12.4707220265,-0.0003403118,-0.0384731867,-0.0000843751
12.4667756211,-0.0003452942,-0.0380157540,-0.0000970196
12.4631034330,-0.0003368357,-0.0375824121,-0.0001006619
12.4595449872,-0.0003542935,-0.0371499163,-0.0000912181
12.4556104782,-0.0003309649,-0.0366634371,-0.0000720434
12.4518373745,-0.0003533665,-0.0362250400,-0.0000813282
12.4478251650,-0.0003350590,-0.0357955348,-0.0001273873
12.4435945440,-0.0003484227,-0.0352649200,-0.0000976778
12.4388901877,-0.0003468778,-0.0346949262,-0.0000840171
12.4347226437,-0.0003384965,-0.0342388536,-0.0001202095
12.4306816223,-0.0003442514,-0.0337367363,-0.0000948850
12.4267188895,-0.0003434017,-0.0332543143,-0.0000795123
12.4225041538,-0.0003342093,-0.0328053503,-0.0001267463
12.4187720322,-0.0003468392,-0.0323095558,-0.0000698546
12.4150884248,-0.0003314670,-0.0318812356,-0.0000742906
12.4113763159,-0.0003433631,-0.0314543461,-0.0000830605
12.4071467128,-0.0003343638,-0.0309708140,-0.0000953753
12.4032215656,-0.0003394235,-0.0304946864,-0.0000788796
12.3992311886,-0.0003320078,-0.0300348605,-0.0000858062
12.3951994904,-0.0003325099,-0.0296150510,-0.0001370503
12.3907150974,-0.0003362564,-0.0290197113,-0.0000650252
12.3866513424,-0.0003255577,-0.0285586520,-0.0000776175
12.3827109886,-0.0003257894,-0.0281555633,-0.0001332726
