Alignment Data
x,y,z,zd
12.1395993137,-0.0004117080,0.8021660962,-0.0000281447
12.1391305230,-0.0004175405,0.8020866585,-0.0000341459
12.1378958541,-0.0004197035,0.8018926289,-0.0000348058
12.1364179072,-0.0003767907,0.8016858422,-0.0000102020
12.1342718491,-0.0004162272,0.8013585417,-0.0000016679
12.1312698304,-0.0003786060,0.8008804311,-0.0000103055
12.1275259635,-0.0004103947,0.8003158046,0.0000100487
12.1232158068,-0.0003889190,0.7996187598,-0.0000142259
12.1181666969,-0.0003938631,0.7987996652,-0.0000461493
12.1135325347,-0.0004130599,0.7980982907,-0.0000259355
12.1090263838,-0.0003818119,0.7973815308,-0.0000418547
12.1048218061,-0.0004134075,0.7967465044,-0.0000236668
12.1006005769,-0.0004078840,0.7960633161,-0.0000517531
12.0970291892,-0.0003930905,0.7955103754,-0.0000509878
12.0934780024,-0.0004122487,0.7949250261,-0.0000862579
12.0897611054,-0.0003901550,0.7943612482,-0.0000748149
12.0854445480,-0.0003926270,0.7936847139,-0.0000840002
12.0813767966,-0.0003986139,0.7930809205,-0.0000595720
12.0772227482,-0.0003825071,0.7924220975,-0.0000775060
12.0730408530,-0.0004127122,0.7917930560,-0.0000620345
12.0684968966,-0.0003754773,0.7910781552,-0.0000773832
12.0644811805,-0.0004201282,0.7904698366,-0.0000681324
12.0605882998,-0.0003723100,0.7898650599,-0.0000748179
12.0568136631,-0.0004191239,0.7893071584,-0.0000533467
12.0526907551,-0.0003735074,0.7886653663,-0.0000629275
12.0488674477,-0.0004123645,0.7880839095,-0.0000586900
12.0449499282,-0.0003773699,0.7875028894,-0.0000401558
12.0410393202,-0.0004090427,0.7868653986,-0.0000797270
12.0367758499,-0.0003769450,0.7862085970,-0.0000853116
12.0328458554,-0.0004119396,0.7856057929,-0.0000884383
12.0288381818,-0.0003771381,0.7850067840,-0.0000765104
12.0248309328,-0.0004214800,0.7843820498,-0.0000909710
12.0209298748,-0.0003800350,0.7838164780,-0.0000630135
12.0167177069,-0.0004219049,0.7831577384,-0.0000815230
12.0128873777,-0.0003796874,0.7825976437,-0.0000599936
12.0090100380,-0.0004136390,0.7820028294,-0.0000665960
12.0051163632,-0.0003800736,0.7814620923,-0.0000171981
12.0007903249,-0.0004135618,0.7807947909,-0.0000294857
11.9968227519,-0.0003781037,0.7801754616,-0.0000486775
11.9928043866,-0.0004064547,0.7795714705,-0.0000454326
11.9887305133,-0.0003808461,0.7789558607,-0.0000460163
11.9842843495,-0.0004018583,0.7783103570,-0.0000209754
11.9803740684,-0.0003981116,0.7777423140,0.0000001180
11.9765481849,-0.0003881076,0.7771259429,-0.0000403648
11.9727496541,-0.0003996566,0.7765566900,-0.0000383663
11.9685177603,-0.0003891505,0.7759281969,-0.0000310436
11.9646455665,-0.0003812323,0.7753294436,-0.0000485836
11.9607961650,-0.0004062229,0.7747452099,-0.0000555541
