Alignment Data
x,y,z,zd
12.2024466088,-0.0003343904,2.2182284837,0.0000638891
12.2011865221,-0.0003419226,2.2178024428,0.0000778617
12.2002705803,-0.0003262016,2.2174586269,0.0000538802
12.1987885574,-0.0003333475,2.2169279569,0.0000407007
12.1962369430,-0.0003280170,2.2160610441,0.0000647239
12.1929447034,-0.0003314934,2.2148962744,0.0000494284
12.1888105633,-0.0003350471,2.2134767931,0.0000732669
12.1840909522,-0.0003408797,2.2118106291,0.0000546837
12.1791721907,-0.0003305664,2.2101180497,0.0000790458
12.1739940265,-0.0003296394,2.2082749944,0.0000432974
12.1696187882,-0.0003376351,2.2067658308,0.0000610520
12.1656399532,-0.0003270128,2.2053792535,0.0000629325
12.1619728563,-0.0003428110,2.2041324199,0.0000956698
12.1581495227,-0.0003345450,2.2027921198,0.0000893513
12.1546644242,-0.0003326136,2.2015721272,0.0000852329
12.1509802923,-0.0003277081,2.2002906873,0.0000890057
12.1470325855,-0.0003337338,2.1989077093,0.0000830729
12.1424333574,-0.0003299484,2.1973113455,0.0000908664
12.1381318859,-0.0003382531,2.1958080983,0.0000877715
12.1338839862,-0.0003244634,2.1943011037,0.0000621010
12.1297307541,-0.0003357810,2.1928745611,0.0000837284
12.1253130970,-0.0003398755,2.1913326143,0.0000819976
12.1214196531,-0.0003200987,2.1899653936,0.0000720917
12.1176470265,-0.0003399141,2.1886589255,0.0000806977
12.1139412588,-0.0003357038,2.1873490189,0.0000624417
12.1098184982,-0.0003304506,2.1859029699,0.0000532481
12.1059936488,-0.0003280558,2.1845747575,0.0000579315
12.1020475170,-0.0003379442,2.1832258445,0.0000840444
12.0980624897,-0.0003119871,2.1818251763,0.0000718151
12.0937470665,-0.0003434292,2.1803068638,0.0000568947
12.0897752856,-0.0003141502,2.1789311464,0.0000647034
12.0857475765,-0.0003370558,2.1775074576,0.0000438743
12.0816739405,-0.0003212961,2.1761183776,0.0000734978
12.0776546112,-0.0003267811,2.1747026452,0.0000574031
12.0734017561,-0.0003192103,2.1731883870,0.0000239359
12.0695881791,-0.0003280172,2.1718676273,0.0000308689
12.0657662195,-0.0003200987,2.1705586098,0.0000523215
12.0619419423,-0.0003172790,2.1692215508,0.0000463969
12.0577385230,-0.0003221846,2.1677845780,0.0000723620
12.0539008030,-0.0003182833,2.1664436566,0.0000669491
12.0499860259,-0.0003297940,2.1650850077,0.0000704718
12.0459956203,-0.0003216438,2.1637194854,0.0000932772
12.0415762476,-0.0003259314,2.1621639781,0.0000751523
12.0375809355,-0.0003120258,2.1607774440,0.0000783081
12.0336811812,-0.0003335022,2.1594036146,0.0000607701
12.0298335302,-0.0003101331,2.1580731600,0.0000683301
12.0256201406,-0.0003315709,2.1566111185,0.0000713079
12.0217980583,-0.0003264335,2.1552851817,0.0000741671
12.0179903051,-0.0003144207,2.1539638796,0.0000765229
12.0141747882,-0.0003111374,2.1526172398,0.0000560819
12.0098561428,-0.0003275537,2.1511329134,0.0000726398
12.0058120427,-0.0003155408,2.1497036604,0.0000486704
12.0017498259,-0.0003191331,2.1483255845,0.0000819902
11.9977950636,-0.0003072361,2.1469353786,0.0000656680
11.9936004792,-0.0003283263,2.1454519374,0.0000392311
11.9898061625,-0.0003080473,2.1441618424,0.0000669338
11.9859429392,-0.0003107898,2.1428180990,0.0000647500
11.9820074481,-0.0003158499,2.1414521864,0.0000653156
11.9780506741,-0.0003054979,2.1400641039,0.0000509196
11.9737316361,-0.0003169314,2.1385749479,0.0000610085
11.9697587923,-0.0003187855,2.1372193096,0.0000842479
11.9657291313,-0.0003101718,2.1357980496,0.0000613937
11.9617519991,-0.0003106739,2.1344260343,0.0000693641
11.9574754072,-0.0003127984,2.1329454128,0.0000724216
11.9536773392,-0.0003009014,2.1316172712,0.0000617582
11.9498313367,-0.0003106739,2.1303070129,0.0000854255
11.9458840594,-0.0003059615,2.1289275033,0.0000747775
11.9415052633,-0.0003160044,2.1274082970,0.0000738510
11.9375671772,-0.0002835967,2.1260286714,0.0000594916
11.9336840932,-0.0003203692,2.1246717930,0.0000486193
11.9298360400,-0.0002859143,2.1233670966,0.0000775984
11.9255840863,-0.0003192491,2.1218673147,0.0000512574
11.9217183035,-0.0002863778,2.1205327230,0.0000560850
11.9178745368,-0.0003113693,2.1192119957,0.0000669570
11.9140421254,-0.0003005538,2.1178741967,0.0000566328
11.9097385652,-0.0003140345,2.1164033449,0.0000762235
11.9057419192,-0.0002936783,2.1149881069,0.0000449173
11.9017317148,-0.0003099015,2.1136149302,0.0000601544
11.8978103092,-0.0002955710,2.1122338342,0.0000365215
11.8936266386,-0.0002930603,2.1107865405,0.0000372511
11.8897901292,-0.0003048414,2.1094745409,0.0000529104
11.8858761756,-0.0002869959,2.1081386348,0.0000712578
11.8819023152,-0.0002921332,2.1067271026,0.0000344935
11.8779194536,-0.0002918628,2.1053707259,0.0000557816
11.8736143040,-0.0002827856,2.1038824143,0.0000563675
11.8696872936,-0.0002998972,2.1025216327,0.0000534829
11.8657345581,-0.0002846010,2.1011456341,0.0000440595
11.8617777281,-0.0002945667,2.0997665834,0.0000327799
11.8575047507,-0.0002917856,2.0982936426,0.0000366461
11.8536891324,-0.0002864165,2.0969798258,0.0000413470
11.8498158847,-0.0002993951,2.0956695243,0.0000692649
11.8458516749,-0.0002832105,2.0942806628,0.0000498282
11.8414752190,-0.0002917856,2.0927450740,0.0000258100
11.8375831210,-0.0002942964,2.0914024051,0.0000271878
11.8337766152,-0.0002997041,2.0901132678,0.0000523263
11.8299612640,-0.0002841762,2.0887963986,0.0000525744
11.8256383397,-0.0002968843,2.0873094358,0.0000576917
11.8216654741,-0.0002959959,2.0859502362,0.0000695041
11.8177391520,-0.0002881934,2.0845578962,0.0000318835
11.8138895377,-0.0003015196,2.0832764060,0.0000784222
11.8096455606,-0.0002937942,2.0818140835,0.0000799172
11.8057080355,-0.0002811247,2.0804212795,0.0000449874
11.8017343182,-0.0002974251,2.0790263510,0.0000201756
11.7978409786,-0.0002837127,2.0776847617,0.0000207561
11.7936330746,-0.0002788457,2.0762621047,0.0000484494
11.7897743422,-0.0002951075,2.0749461217,0.0000622271
11.7858639679,-0.0002810088,2.0735630495,0.0000264776
11.7819045385,-0.0002974638,2.0722174428,0.0000448536
11.7779357610,-0.0002830560,2.0708612921,0.0000556609
11.7736120956,-0.0002964981,2.0693516921,0.0000349711
11.7696554842,-0.0002831719,2.0679921418,0.0000376738
11.7656764312,-0.0002856054,2.0666239781,0.0000392399
11.7617298620,-0.0002881548,2.0652349179,0.0000084792
11.7575027561,-0.0002796569,2.0638167008,0.0000448391
11.7537244363,-0.0002862621,2.0625474499,0.0000754924
11.7498974105,-0.0002775711,2.0612028053,0.0000472749
11.7459723533,-0.0002940260,2.0598425186,0.0000368904
11.7415577583,-0.0002852964,2.0583574446,0.0000697817
11.7375790491,-0.0002856441,2.0570003644,0.0000805146
11.7337045898,-0.0002924424,2.0556357504,0.0000476254
11.7298405579,-0.0002772621,2.0543107650,0.0000505353
11.7255667895,-0.0002910904,2.0528224429,0.0000306294
11.7216572948,-0.0002937557,2.0514850976,0.0000362752
11.7177627089,-0.0002944896,2.0501552449,0.0000440395
11.7138999115,-0.0002852964,2.0488135341,0.0000287776
11.7096413590,-0.0002864552,2.0473408537,0.0000181548
11.7057247944,-0.0003020990,2.0459829205,0.0000045973
11.7017813840,-0.0002744037,2.0446284644,0.0000034704
11.6978489428,-0.0003051892,2.0433134422,0.0000377497
11.6935560887,-0.0002825540,2.0418285950,0.0000255689
11.6896193980,-0.0002951463,2.0404813214,0.0000285023
11.6856404119,-0.0002896999,2.0391199120,0.0000315362
11.6816586450,-0.0002837128,2.0377230067,-0.0000002452
11.6777113304,-0.0002954939,2.0364013790,0.0000311684
11.6734441202,-0.0002842535,2.0349708742,0.0000630533
11.6695571769,-0.0002941806,2.0336163373,0.0000403107
11.6656437746,-0.0002868415,2.0322586336,0.0000232003
11.6617198650,-0.0002906270,2.0309426825,0.0000511720
11.6574124444,-0.0002932922,2.0294689949,0.0000524460
11.6535215592,-0.0002896999,2.0281255037,0.0000410030
11.6496264634,-0.0002878845,2.0267734764,0.0000221963
11.6457092737,-0.0002954939,2.0254137241,0.0000029545
11.6414262233,-0.0002764124,2.0239560259,0.0000106554
11.6375661199,-0.0002970776,2.0226783100,0.0000533497
11.6337631440,-0.0002798115,2.0213441251,0.0000197719
11.6299766600,-0.0002851806,2.0200637815,0.0000341357
11.6257532846,-0.0002913223,2.0185983174,0.0000124583
11.6218463655,-0.0002796570,2.0172858013,0.0000352580
11.6179428452,-0.0002871506,2.0159753701,0.0000587030
11.6140429176,-0.0002730905,2.0146004752,0.0000161784
11.6096612917,-0.0002883480,2.0131050394,0.0000173470
11.6056101818,-0.0002761420,2.0117616247,0.0000573302
11.6015890072,-0.0002861077,2.0103860734,0.0000546542
11.5976487907,-0.0002820519,2.0090429655,0.0000564910
11.5933833480,-0.0002691120,2.0075757619,0.0000449187
11.5895383813,-0.0002845240,2.0062571396,0.0000381444
11.5856991686,-0.0002661763,2.0049574436,0.0000480574
11.5818216394,-0.0002756399,2.0036470097,0.0000600218
11.5779460416,-0.0002606527,2.0022951321,0.0000296012
11.5737099135,-0.0002715454,2.0008343378,0.0000128686
11.5698106367,-0.0002655583,1.9995193460,0.0000268084
11.5658278512,-0.0002720090,1.9981902956,0.0000548521
11.5618343278,-0.0002613480,1.9968200718,0.0000450779
11.5575388305,-0.0002757171,1.9953450246,0.0000330115
11.5537401715,-0.0002526956,1.9940411160,0.0000225736
11.5499325898,-0.0002705025,1.9927478668,0.0000255545
11.5460593437,-0.0002627772,1.9914638498,0.0000598354
11.5417463860,-0.0002587600,1.9899620740,0.0000256762
11.5378279482,-0.0002712364,1.9886201975,0.0000168558
11.5339484438,-0.0002516527,1.9873059758,0.0000221510
11.5300429832,-0.0002800433,1.9859844918,0.0000287154
11.5256817411,-0.0002482536,1.9844922949,0.0000192027
11.5217374611,-0.0002757172,1.9831515373,0.0000190536
11.5178571058,-0.0002545497,1.9818110115,-0.0000028893
11.5140161090,-0.0002649017,1.9805278027,0.0000188178
11.5097426222,-0.0002660991,1.9790872049,0.0000297242
11.5057563158,-0.0002581807,1.9777274830,0.0000236381
11.5017157017,-0.0002583738,1.9763402221,0.0000081317
11.4977054462,-0.0002644768,1.9750039059,0.0000329414
11.4933985854,-0.0002505712,1.9735313653,0.0000218398
11.4895399725,-0.0002599961,1.9722722567,0.0000717510
11.4856899738,-0.0002526184,1.9709377148,0.0000430081
11.4818177262,-0.0002618502,1.9696214033,0.0000397402
11.4779476409,-0.0002466699,1.9683145550,0.0000448996
11.4737220079,-0.0002555154,1.9668574226,0.0000199634
11.4698102832,-0.0002560562,1.9655588009,0.0000468212
11.4658465687,-0.0002527729,1.9642086547,0.0000394533
11.4618864461,-0.0002560562,1.9628562678,0.0000283075
11.4576203701,-0.0002542408,1.9613998302,0.0000163741
11.4538347176,-0.0002564425,1.9601455467,0.0000436093
11.4500421129,-0.0002604597,1.9588551879,0.0000368269
11.4461753847,-0.0002483695,1.9575639415,0.0000539382
11.4418504803,-0.0002619275,1.9560973836,0.0000504012
11.4378848706,-0.0002576785,1.9547371160,0.0000312724
11.4339338604,-0.0002562494,1.9534177896,0.0000478225
11.4299661642,-0.0002593395,1.9520585642,0.0000297880
11.4255656674,-0.0002339618,1.9505666305,0.0000249594
11.4215787735,-0.0002734769,1.9492226992,0.0000280097
11.4176784384,-0.0002440433,1.9479122554,0.0000349813
11.4138515690,-0.0002557858,1.9466409363,0.0000559518
11.4096039895,-0.0002522322,1.9451999834,0.0000489961
11.4056387244,-0.0002401034,1.9438359673,0.0000233229
11.4016447982,-0.0002608459,1.9425120425,0.0000470778
11.3976589824,-0.0002298674,1.9411927920,0.0000724330
