Alignment Data
x,y,z,zd
12.6506348949,-0.0004274966,3.8980806863,0.0001355207
12.6501205184,-0.0004172601,3.8977793634,0.0001818536
12.6487022302,-0.0004045901,3.8968184564,0.0001794485
12.6472468596,-0.0004054786,3.8958540359,0.0001984566
12.6451044784,-0.0003946241,3.8944159974,0.0002078292
12.6418492047,-0.0003986414,3.8921840486,0.0001746070
12.6381979099,-0.0003985256,3.8896856488,0.0001416102
12.6340931154,-0.0003991822,3.8869040763,0.0001306251
12.6297283517,-0.0004013454,3.8839925446,0.0001639588
12.6248232107,-0.0004066374,3.8807075790,0.0001869774
12.6204547744,-0.0004012682,3.8777690101,0.0001931331
12.6163582836,-0.0004172988,3.8750198417,0.0002042484
12.6084488317,-0.0004145562,3.8696658311,0.0001766733
12.6047368485,-0.0003957057,3.8671778228,0.0001870090
12.6008853766,-0.0004026974,3.8645918304,0.0001922920
12.5969128795,-0.0004050537,3.8619039524,0.0001760998
12.5924529259,-0.0003947014,3.8588840435,0.0001544825
12.5883845933,-0.0004130884,3.8562065591,0.0002108767
12.5842749218,-0.0004032768,3.8533898749,0.0001547474
12.5802242767,-0.0004057490,3.8506596675,0.0001443580
12.5759042763,-0.0004006115,3.8478234485,0.0002076252
12.5721150712,-0.0004055559,3.8453152027,0.0002415940
12.5683571898,-0.0004026202,3.8427500619,0.0001967154
12.5645394355,-0.0003968646,3.8401931893,0.0001993024
12.5607181620,-0.0003992209,3.8375577161,0.0001246807
12.5565121128,-0.0003949718,3.8347901651,0.0001747209
12.5526665424,-0.0003937357,3.8321757816,0.0001354185
12.5487390063,-0.0003914953,3.8296172524,0.0002058406
12.5447290319,-0.0003923065,3.8269165120,0.0001881720
12.5402661348,-0.0003976372,3.8239151400,0.0001716602
12.5362434908,-0.0003956285,3.8212476941,0.0001934852
12.5323324447,-0.0004048992,3.8186498437,0.0002092603
12.5284784145,-0.0003864737,3.8161067219,0.0002406596
12.5168315252,-0.0003975599,3.8082891031,0.0001971860
12.5125362374,-0.0004042039,3.8054714197,0.0002442458
12.5082216292,-0.0004045516,3.8025290579,0.0001782601
12.5041719789,-0.0004069079,3.7998402526,0.0001880499
12.5001244530,-0.0003999549,3.7971622235,0.0002060919
12.4961570431,-0.0004050538,3.7945428221,0.0002283192
12.4918895604,-0.0004051696,3.7916478496,0.0001735819
12.4880432129,-0.0004100754,3.7891272822,0.0002119023
12.4841832637,-0.0003958989,3.7865175321,0.0001690783
12.4802809396,-0.0004030065,3.7839067792,0.0001524001
12.4759793090,-0.0003863192,3.7810418577,0.0001457910
12.4720978458,-0.0003926928,3.7784975760,0.0001795483
12.4681584759,-0.0003933495,3.7758800652,0.0001774857
12.4641894369,-0.0003926155,3.7732108763,0.0001423697
12.4602026689,-0.0003861647,3.7705771453,0.0001533920
12.4558573493,-0.0003836925,3.7677461757,0.0002037917
12.4520018805,-0.0003876325,3.7652142907,0.0002273724
12.4481869293,-0.0003823405,3.7626322311,0.0001729178
12.4443789338,-0.0003880188,3.7601162957,0.0001789806
12.4401399551,-0.0003834993,3.7573120103,0.0001809552
12.4362876524,-0.0003924224,3.7547897422,0.0002078882
12.4324462394,-0.0003679322,3.7522138637,0.0001729858
12.4285106880,-0.0003818383,3.7495822149,0.0001435251
12.4240611827,-0.0003821087,3.7467013849,0.0002034202
12.4160045456,-0.0003897957,3.7413830172,0.0002062808
12.4120720455,-0.0003852762,3.7387930053,0.0002119628
12.4077982205,-0.0003950491,3.7359881410,0.0002268701
12.4038919873,-0.0003865509,3.7334194098,0.0002342720
12.4000168092,-0.0003873235,3.7308270776,0.0001965429
12.3961940919,-0.0003952809,3.7283331189,0.0002215795
12.3920411324,-0.0003814134,3.7255618912,0.0001858074
12.3882269494,-0.0003845809,3.7230388481,0.0001740155
12.3843402215,-0.0003899888,3.7204793466,0.0001724835
12.3803605538,-0.0003645716,3.7179078762,0.0002190555
12.3759217783,-0.0003760441,3.7149769101,0.0002068498
12.3719099282,-0.0003765849,3.7123018500,0.0001686344
12.3679351633,-0.0003841174,3.7096912135,0.0001693548
12.3640091878,-0.0003725290,3.7071472021,0.0002035587
12.3601353613,-0.0003858557,3.7046392244,0.0002384883
12.3559550460,-0.0003690138,3.7018067005,0.0001488784
12.3522220201,-0.0003780528,3.6993668112,0.0001573748
12.3483890217,-0.0003723745,3.6968603383,0.0001638358
12.3444092711,-0.0003801387,3.6942483884,0.0001599357
12.3399645059,-0.0003769326,3.6913649687,0.0001879837
12.3360111772,-0.0003697091,3.6887865051,0.0001979090
12.3321884505,-0.0003736878,3.6862432223,0.0001564549
12.3284064403,-0.0003706748,3.6837681870,0.0001555844
12.3241117455,-0.0003680481,3.6809573356,0.0001530652
12.3201265479,-0.0003714474,3.6783903059,0.0001908167
12.3162065523,-0.0003616359,3.6758008327,0.0001624099
12.3123832075,-0.0003751171,3.6732965601,0.0001550081
12.3081432877,-0.0003715633,3.6705398961,0.0001660500
12.3042347679,-0.0003711384,3.6680440089,0.0002204084
12.3002773007,-0.0003739582,3.6654298560,0.0001873320
12.2963312664,-0.0003615200,3.6628065490,0.0001365357
12.2920519837,-0.0003932336,3.6600564906,0.0001749863
12.2881183134,-0.0003770098,3.6575195470,0.0002001903
12.2841628924,-0.0003804864,3.6549154749,0.0001713200
12.2802126481,-0.0003706748,3.6523380536,0.0001646161
12.2759560773,-0.0003791344,3.6496020538,0.0001974357
12.2683483566,-0.0003768167,3.6446374999,0.0001783360
12.2644680676,-0.0003631424,3.6420978887,0.0001595407
12.2605044198,-0.0003714088,3.6395631087,0.0001986170
12.2560991642,-0.0003578890,3.6367465840,0.0002413930
12.2521067321,-0.0003563825,3.6340942330,0.0001791911
12.2481227239,-0.0003637991,3.6315109032,0.0001794050
12.2441168520,-0.0003593568,3.6289320163,0.0001970913
12.2397910928,-0.0003602839,3.6261546914,0.0002223934
12.2359964037,-0.0003571550,3.6236779952,0.0002031403
12.2322703608,-0.0003549919,3.6213048092,0.0002419342
12.2284936710,-0.0003602066,3.6188141300,0.0001950004
12.2242160788,-0.0003643012,3.6160252929,0.0001727823
12.2202346174,-0.0003656532,3.6134434693,0.0001648644
12.2161834342,-0.0003583525,3.6109056421,0.0002448430
12.2121655820,-0.0003690911,3.6082656131,0.0001999123
12.2078210070,-0.0003649579,3.6054717965,0.0002109106
12.2038982598,-0.0003653828,3.6029165440,0.0001869738
12.1962162453,-0.0003697864,3.5979631553,0.0001875025
12.1920448427,-0.0003679709,3.5952730375,0.0001856179
12.1882105972,-0.0003707521,3.5928547815,0.0002372053
12.1803635550,-0.0003647261,3.5877676058,0.0002014113
12.1760163888,-0.0003818384,3.5849671456,0.0001974336
12.1720606508,-0.0003665417,3.5824181134,0.0001918921
12.1681149577,-0.0003737265,3.5799079750,0.0002176537
12.1641413707,-0.0003584684,3.5773107018,0.0001730661
12.1601860559,-0.0003728380,3.5747421251,0.0001442970
12.1559444620,-0.0003689752,3.5720298016,0.0001543449
12.1521865435,-0.0003613655,3.5696345627,0.0001699484
12.1484245680,-0.0003649579,3.5672218270,0.0001696286
12.1445770293,-0.0003770871,3.5647675737,0.0001815941
12.1402172650,-0.0003332056,3.5619333579,0.0001406249
12.1362494732,-0.0003712157,3.5593965693,0.0001447460
12.1323488190,-0.0003620994,3.5569219252,0.0001669003
12.1284357645,-0.0003695933,3.5544354237,0.0001840195
12.1240467201,-0.0003553781,3.5516236880,0.0001791203
12.1200532384,-0.0003769712,3.5490691338,0.0001772141
12.1161112096,-0.0003642626,3.5465363235,0.0001630218
12.1122505353,-0.0003726063,3.5440887145,0.0001809518
12.1079871895,-0.0003800615,3.5413676244,0.0001812929
12.1040639716,-0.0003651124,3.5388343885,0.0001512004
12.1001235664,-0.0003836153,3.5363482359,0.0001780235
12.0962059510,-0.0003577731,3.5338611562,0.0001882603
12.0919808056,-0.0003800615,3.5311056500,0.0001248483
12.0880847838,-0.0003572709,3.5286423620,0.0001427927
12.0840920756,-0.0003673915,3.5261671040,0.0002091891
12.0800902078,-0.0003697092,3.5235983372,0.0001867356
12.0757266154,-0.0003534467,3.5207902703,0.0001538033
12.0718227497,-0.0003641467,3.5182906753,0.0001357847
12.0679851369,-0.0003504338,3.5159294688,0.0002129504
12.0642154685,-0.0003685889,3.5135161159,0.0001937463
12.0604206139,-0.0003490045,3.5110997909,0.0001865133
12.0561833410,-0.0003594341,3.5084430484,0.0002184737
12.0483446290,-0.0003503565,3.5034963899,0.0002422863
12.0443004991,-0.0003566142,3.5009168492,0.0002253336
12.0200814576,-0.0003576186,3.4856178560,0.0002477174
12.0161414319,-0.0003619449,3.4831116201,0.0002299259
12.0122647579,-0.0003530605,3.4806497225,0.0002153453
12.0079620810,-0.0003553781,3.4779232283,0.0002038041
12.0039988768,-0.0003631424,3.4753969476,0.0001770649
12.0000423577,-0.0003598204,3.4729315774,0.0002058654
11.9961476038,-0.0003570392,3.4704478966,0.0001762915
11.9919629796,-0.0003594727,3.4678570848,0.0002209889
11.9880895107,-0.0003556099,3.4654045344,0.0002068286
11.9841227929,-0.0003628720,3.4629373495,0.0002355875
11.9801221548,-0.0003587774,3.4603758843,0.0001902337
11.9758563269,-0.0003545670,3.4576494279,0.0001453724
11.9720693093,-0.0003586615,3.4552477808,0.0001232036
11.9682400743,-0.0003452962,3.4529223803,0.0002027313
11.9643085838,-0.0003361414,3.4504529929,0.0002013662
11.9603032332,-0.0003333215,3.4479173680,0.0001789556
11.9558987263,-0.0003439442,3.4451281534,0.0001520428
11.9520400934,-0.0003335919,3.4427799275,0.0002225943
11.9481643028,-0.0003332056,3.4402870929,0.0001581843
11.9442158919,-0.0003383045,3.4378121831,0.0001560582
11.9398481615,-0.0003468027,3.4350977826,0.0001757071
11.9359425919,-0.0003369526,3.4326914682,0.0002129508
11.9321121902,-0.0003469959,3.4302357883,0.0001527033
11.9282367869,-0.0003378796,3.4277911960,0.0001305821
11.9238607901,-0.0003478070,3.4250963015,0.0001697379
11.9198735579,-0.0003549919,3.4226465384,0.0002098977
11.9159176891,-0.0003439829,3.4201501548,0.0001826889
11.9120347917,-0.0003477684,3.4177135968,0.0001686318
11.9077833343,-0.0003499702,3.4150908476,0.0001970442
11.9039220323,-0.0003486569,3.4127157789,0.0002286810
11.9000295164,-0.0003524424,3.4102901137,0.0002280591
11.8961513299,-0.0003478457,3.4078377587,0.0001907044
11.8919050850,-0.0003505110,3.4051853848,0.0001812481
11.8880168948,-0.0003472663,3.4027604537,0.0001752055
11.8840538442,-0.0003478070,3.4003597049,0.0002387640
11.8801576174,-0.0003391544,3.3979041454,0.0002048253
11.8758954972,-0.0003454507,3.3952871524,0.0002355782
11.8720936812,-0.0003355619,3.3929161762,0.0002252587
11.8682485244,-0.0003285316,3.3905481374,0.0002436985
11.8643108849,-0.0003380728,3.3880329439,0.0001712467
11.8603340401,-0.0003183338,3.3855767322,0.0001809319
11.8560103435,-0.0003378410,3.3829106508,0.0001944868
11.8521481119,-0.0003267548,3.3805353519,0.0002116571
11.8482584507,-0.0003238190,3.3780835781,0.0001682260
11.8442596641,-0.0003260208,3.3756168229,0.0001762107
11.8398280761,-0.0003201494,3.3729127411,0.0002133328
11.8358490676,-0.0003296132,3.3704623232,0.0002229302
