Alignment Data
x,y,z,zd
12.5087911805,-0.0003331277,-0.0429639010,-0.0000163412
12.5080281998,-0.0003410069,-0.0428739674,-0.0000181960
12.5066851905,-0.0003515898,-0.0426999269,-0.0000056816
12.5047234145,-0.0003520533,-0.0424318541,0.0000265399
12.5019189055,-0.0003476502,-0.0420959042,0.0000255184
12.4983475158,-0.0003524781,-0.0416623346,0.0000303086
12.4937939648,-0.0003325870,-0.0410885869,0.0000579064
12.4893303679,-0.0003647604,-0.0405434582,0.0000682728
12.4847119766,-0.0003395393,-0.0400098815,0.0000491692
12.4802527459,-0.0003405049,-0.0394508473,0.0000751787
12.4756766123,-0.0003580013,-0.0389455819,0.0000340709
12.4718268045,-0.0003243989,-0.0385028656,0.0000176273
12.4681739702,-0.0003572675,-0.0380717323,0.0000135123
12.4645268116,-0.0003229698,-0.0376086937,0.0000423869
12.4603929425,-0.0003444831,-0.0371294482,0.0000300251
12.4564747389,-0.0003466460,-0.0366641007,0.0000299007
12.4524633807,-0.0003242444,-0.0361984850,0.0000194721
12.4483429146,-0.0003625203,-0.0356814262,0.0000480616
12.4441714691,-0.0003179102,-0.0351776152,0.0000579017
12.4396721252,-0.0003588511,-0.0346329509,0.0000703810
12.4356827099,-0.0003255963,-0.0341865305,0.0000454664
12.4318486317,-0.0003442900,-0.0337272060,0.0000522851
12.4280883230,-0.0003410457,-0.0332903583,0.0000457888
12.4239182388,-0.0003223519,-0.0328401195,0.0000049001
12.4199656709,-0.0003492725,-0.0323527958,0.0000272301
12.4162502067,-0.0003289565,-0.0319465753,-0.0000031897
12.4124174846,-0.0003438266,-0.0314774399,0.0000159939
12.4080929170,-0.0003523238,-0.0310005936,-0.0000142796
12.4040452249,-0.0003133526,-0.0304717886,0.0000404262
12.3999600752,-0.0003501609,-0.0299985278,0.0000357450
12.3959014969,-0.0003136616,-0.0295176557,0.0000423271
12.3915167210,-0.0003320078,-0.0290100660,0.0000381181
12.3875522278,-0.0003323554,-0.0285366463,0.0000493437
12.3836236553,-0.0003237424,-0.0280905712,0.0000379279
12.3797256342,-0.0003346342,-0.0276540357,0.0000210392
12.3754788174,-0.0003041989,-0.0271350078,0.0000466495
12.3716661149,-0.0003481525,-0.0267216449,0.0000175488
12.3677942813,-0.0002994868,-0.0262847981,0.0000055709
12.3638592255,-0.0003282227,-0.0258408478,-0.0000061125
12.3594782814,-0.0003187600,-0.0253345310,-0.0000064404
12.3554917031,-0.0003159405,-0.0248419531,0.0000256679
12.3515560720,-0.0003160564,-0.0244208674,-0.0000072988
12.3476185829,-0.0003119623,-0.0239213355,0.0000384971
12.3437389145,-0.0003242446,-0.0234752581,0.0000380225
12.3395603915,-0.0003000662,-0.0229899848,0.0000429256
12.3358302283,-0.0003257509,-0.0225398476,0.0000647467
